,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Lieu de la vente,Séance unique,Modalités de visite,Année de construction,Visite virtuelle,Salon,Salle à manger,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Mise à prix,Revenu cadastral,Grenier,Droit d'achat prioritaire possible,Toilettes,Type de chauffage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Parkings intérieurs,Quartier ou lieu-dit,Parkings extérieurs,Bureau,Surface du jardin,Surface de la terrasse,Procédure pour violation de la réglementation urbanistique,Largeur du terrain à rue,Surface constructible totale au sol,Largeur de la façade à rue,Surface de la cuisine,Attestation as-built,Surface du salon,Orientation du jardin,Accès sécurisé / alarme,Référence externe,Salles de douche,Disponible le,Dressing,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Buanderie,Surface de bureau,Orientation de la terrasse,Type de construction,Attestation de conformité des citernes à mazout,Surface de la chambre 4,Surface de la chambre 5,Obligation de construire,Niveau E (performance énergétique globale),Isolé,Pourcentage loué,Revenu mensuel actuel,Jardin,Surface du grenier,Nom du bien,Combien de feux ouverts ?,Surface de l'espace professionnel,Nom de l'agent
35,Selon le locataire,Bon,2,,,Semi-équipée,,,,,1,Oui,,67 m²,Connecté,Oui,,405 kWh/m²,E,20200522-0002271717-RES-1,Non communiqué,Non communiqué,Oui,355.000 €,Oui,"Driesheide 99
2980 - Halle",,,,,,,,,Oui,Non,Zone non inondable,,2.662 €,Oui,Non,1,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,100,1765,,,,,,
36,Après la signature de l’acte,À rénover,,Urbain,136 m²,,2,,,,1,Oui,Non,58 m²,,Oui,,754 kWh/m²,F,0001703276,Non communiqué,Non communiqué,,290.000 €,Non,"Prins Boudewijnlaaan 318
2610 - Wilrijk",,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,Non,,,,1848 - 1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,205 m²,Non connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,1.650.000 €,Oui,"Britselei, 24
2000 - Anvers",DIKSMUIDELAAN 169,,,,,,,,Oui,Non,Zone non inondable,,4.010 €,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,
38,Après la signature de l’acte,À rafraîchir,2,"Zone d'habitat (résidentiel, urbain ou rural)",128 m²,Semi-équipée,2,22 m²,16 m²,,1,,Non,182 m²,,Oui,,570 kWh/m²,F,20210806-0002448820-RES-1,Non communiqué,Non communiqué,Oui,279.000 €,Non,"Plantin en Moretuslei 135A
2140 - Borgerhout",8767 - 1639,,,,1933,,,,,,Zone non inondable,,835 €,,,2,Gaz,,,,,,97 m²,,Non,,,,6 m²,Non,29 m²,,,,,,,,44 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,À rafraîchir,2,,185 m²,Semi-équipée,4,,,,4,Oui,Non,,,,,391 kWh/m²,D,20210407-0002398232-RES-1,Non communiqué,Non communiqué,Oui,399.000 €,Oui,"Britselei 42
2000 - Antwerpen",9988 - 3596041,,,,1914,,,,Oui,,Zone non inondable,,704 €,,Oui,3,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,21 m²,,,,,,,Non,,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Après la signature de l’acte,Fraîchement rénové,2,"Zone d'habitat (résidentiel, urbain ou rural)",169 m²,Équipée,3,16 m²,10 m²,10 m²,2,,Non,,,Oui,,157 kWh/m²,B,202001217-0002348483-RES-1,Non communiqué,Non communiqué,Oui,465.000 €,Non,"Plantin en Moretuslei 135A
2140 - Borgerhout",8848 - 1720,,,,,,,,,,Zone non inondable,,862 €,,,2,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,6 m²,Non,,,5 m,14 m²,Non,41 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,Fraîchement rénové,,,186 m²,,4,24 m²,16 m²,14 m²,2,Oui,Non,139 m²,,,,213 kWh/m²,C,20151231-0001823185-1,Non communiqué,Non communiqué,Oui,525.000 €,Non,"Fruithoflaan, 6
2600 - Berchem",944 - 3641988,,,,1935,,,,,,Zone non inondable,,857 €,,Non,2,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",1,,2,,20 m²,,,,,,18 m²,Non,,Nord-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 m²,,,,,,,,,,,,
42,Après la signature de l’acte,Fraîchement rénové,2,,93 m²,Semi-équipée,1,,,,1,,Non,56 m²,,,,306 kWh/m²,D,20130704-0001397537-00000004-8,Non communiqué,Non communiqué,Oui,230.000 €,Oui,"Paalstraat 70
2900 - Schoten",20267 - 793,,,,,,,,,,,,1.590 €,,,2,Gaz,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,Fraîchement rénové,,,151 m²,Équipée,3,,,,2,Oui,Non,94 m²,,,,167 kWh/m²,B,20210622-0002432346-RES-1,Non communiqué,Non communiqué,,349.000 €,Non,"De Robianostraat 34
2150 - BORSBEEK",,,,,,,,,Oui,Non,Zone non inondable,,853 €,,Oui,2,Gaz,,,,,,,,,,,,,Non,,Sud-ouest,,211 - 2021/530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,
44,À définir,Fraîchement rénové,2,Urbain,266 m²,Équipée,4,29 m²,16 m²,7 m²,2,,Non,144 m²,,,,168 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,649.000 €,Non,"Antwerpsesteenweg, 88
2550 - Kontich",,,,,1936,,,,,,Zone non inondable,,1.577 €,,,3,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",1,,1,Non,62 m²,19 m²,,6.2 m,89 m²,6.2 m,23 m²,,48 m²,Ouest,Oui,V32-B-1782,2,,Non,,84 m²,,,,,,Non,Non,Non,Non,,Oui,,,Non,,Non,,,,Oui,,,,Non,15 m²,,Non,,,,,,,,,,
45,Après la signature de l’acte,À rénover,2,Urbain,100 m²,Pas équipée,3,12 m²,7 m²,25 m²,1,,Non,125 m²,Connecté,Oui,,383 kWh/m²,D,20210316-0002388068-RES-1,8784 kg CO₂/m²,Non communiqué,Non,230.000 €,Non,,,,,,1920,,,,,Non,Zone non inondable,,327 €,,Non,2,Gaz,,,,,Non,60 m²,12 m²,Non,5 m,,5 m,8 m²,Non,30 m²,Est,,,,,Non,Non,10 m²,Non,Oui,Non,Non,Oui,,,,,,,,,,,Non,Non,Non,Non,,,Est,Toutes sortes,Non,,,,,,,,,20 m²,,,,
46,À définir,Fraîchement rénové,2,Urbain,200 m²,Hyper équipée,3,16 m²,16 m²,10 m²,1,,Non,85 m²,Connecté,Oui,,355 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Oui,449.000 €,Non,"Leopoldstraat 77
2000 - Anvers",4292279,,,,1961,,,,,Non,Zone non inondable,,2.020 €,Oui,Oui,,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,Berchem,,,8 m²,15 m²,Non,4.5 m,85 m²,4.5 m,11 m²,,35 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Après la signature de l’acte,À rafraîchir,4,"Zone d'habitat (résidentiel, urbain ou rural)",435 m²,Équipée,7,14 m²,26 m²,15 m²,2,,,519 m²,,Oui,Oui,639 kWh/m²,F,2447983,Non communiqué,Non communiqué,Oui,695.000 €,Non,"Grote steenweg, 511
2600 - Berchem",,,,,1926,,,Oui,,Non,Zone non inondable,,1.809 €,,Non,,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,Regio Zuidrand Antwerpen,,Oui,357 m²,,Non,,146 m²,13 m,17 m²,,68 m²,,,4452102,,,,,42 m²,,,,,,,Non,,,,Oui,,,,,,,,,,17 m²,,,,15 m²,16 m²,,,,,,,20 m²,,,,
48,Selon le locataire,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",550 m²,,3,,,,,,Non,125 m²,Connecté,Oui,,446 kWh/m²,E,20120628-0001155417-00000002-3,Non communiqué,Non communiqué,Oui,1.095.000 €,Oui,"Wouwerstraat 10
2970 - Schilde",,,,,1910,,,,,Non,,,2.065 €,,Non,,Gaz,Zone d'habitat mixte (habitat & activité économique),,,,,15 m²,6 m²,Non,,,16 m,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,3750,,,Berchemse Bouwhandel,,,
49,Après la signature de l’acte,Bon,2,Urbain,185 m²,Équipée,5,18 m²,12 m²,12 m²,1,Oui,Non,65 m²,Connecté,Oui,,210 kWh/m²,C,20210422-0002405230-RES-1,Non communiqué,Non communiqué,Oui,349.000 €,Non,"Amsterdamstraat 27
2000 - Antwerpen",,,,,,,,,Oui,Oui,Zone non inondable,,468 €,,Oui,2,Gaz,,,Berchem,,Oui,,,Non,5 m,65 m²,5 m,15 m²,,27 m²,,,4341427,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 m²,9 m²,,,,,,,,,,,
50,,Excellent état,2,,160 m²,Équipée,2,20 m²,20 m²,,1,,Non,114 m²,Connecté,Oui,,Non communiqué,Non communiqué,180,Non communiqué,Non communiqué,Oui,435.000 €,Non,,,,,,1920,,,Oui,,,,,,,,2,Gaz,,,,,Non,40 m²,12 m²,,,,,16 m²,,20 m²,Sud-ouest,Non,,,,Non,Non,20 m²,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,,Sud-ouest,,,,,,,,,,,,,,,
51,,À rénover,2,,158 m²,,4,19 m²,12 m²,12 m²,1,,,65 m²,Connecté,Oui,Oui,716 kWh/m²,F,20211004-0002472217-Res-1,Non communiqué,Non communiqué,Oui,304.000 €,Non,"Van Peltstraat 2
2018 - Antwerpen",,,,,1907,,,,,Non,,,550 €,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,9 m,,,,,,,,4529307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 m²,,,,,,,,,,,,
52,Après la signature de l’acte,Bon,2,Urbain,170 m²,Hyper équipée,2,,,,1,,Non,230 m²,,,,270 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,405.000 €,Non,"Tavernierkaai 2 b 29
2000 - Antwerpen",,,,,,,,,,Non,Zone non inondable,,,,Non,2,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",1,,2,Non,135 m²,,Non,,,,,,,Nord,,spir4346,1,,Oui,,,,,,,,,,,,,,,,,,Non,,,,,,,,Non,,,Non,,,,,,,,1,,
53,À définir,À rafraîchir,,,140 m²,Semi-équipée,3,12 m²,12 m²,12 m²,,,Non,,Connecté,Oui,,404 kWh/m²,E,20210323-0002391368-RES-1,Non communiqué,Non communiqué,,220.000 €,Non,"Santvoortbeeklaan, 25
2100 - Antwerpen",,,,,,,,,,,,,593 €,,,1,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",1,,,,,,,,,,9 m²,,23 m²,,,,,,Non,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
54,,Excellent état,,,156 m²,,5,15 m²,15 m²,15 m²,1,,Non,62 m²,Non connecté,Oui,,356 kWh/m²,D,202106010002422907res01,Non communiqué,Non communiqué,Oui,325.000 €,Non,"Driekoningenstraat 110
2600 - Berchem",TTW0218,,,,1965,,,,,Non,Zone non inondable,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,25 m²,Non,4.64 m,,4.64 m,18 m²,,15 m²,,,,,,Non,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,15 m²,15 m²,Non,,,,,,,,,,
55,,Bon,,,230 m²,Équipée,4,16 m²,11 m²,16 m²,2,,Non,125 m²,Non connecté,Non,,564 kWh/m²,F,20210922-0002467496-RES-1,Non communiqué,Non communiqué,Non,985.000 €,Non,"Duboisstraat 39
2060 - Antwerpen",WV7,,,,,,,,,Oui,Zone non inondable,,818 €,,Non,3,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,30 m²,,Non,11 m,90 m²,11 m,,,50 m²,Sud,,,,,,,90 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,15 m²,,,,,,,,,,,,
56,,Bon,3,,164 m²,,2,,,,2,,Non,223 m²,Non connecté,Oui,,588 kWh/m²,F,Nietingegeven,Non communiqué,Non communiqué,Oui,359.000 €,Non,"Vrijheid 147
2320 - Hoogstraten",,,,,1960,,,,Oui,Non,Zone non inondable,,1.060 €,,Non,,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,20 m²,11 m²,Non,,,,12 m²,,29 m²,,,2021/116,,,,,,Non,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,588,,,,,,,,,
57,À définir,À rafraîchir,2,,435 m²,Hyper équipée,4,22 m²,22 m²,22 m²,1,,Non,300 m²,Connecté,Oui,,570 kWh/m²,F,20210628-0002434858-RES-1,Non communiqué,Non communiqué,,895.000 €,Non,"Kapelstraat 89/1
2540 - Hove",,,,,1928,,,Oui,,,,,,Oui,Non,2,Mazout,"Zone d'habitat (résidentiel, urbain ou rural)",1,,2,Oui,150 m²,75 m²,,7.2 m,110 m²,7.2 m,12 m²,,35 m²,,,4411730,,1 avril 2022 - 00:00,,,80 m²,,,,,,,Non,Non,Oui,,,,,Non,,,,,,,14 m²,,,,22 m²,,,,,,,,,,,80 m²,
58,Après la signature de l’acte,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",295 m²,Américaine hyper-équipée,4,15 m²,10 m²,15 m²,3,Oui,,279 m²,,Oui,,209 kWh/m²,C,20211008-0002466239-RES-2,Non communiqué,Non communiqué,Oui,945.000 €,Non,"Grote steenweg, 511
2600 - Berchem",,,,,,,,Oui,,Oui,Zone non inondable,,,,Non,4,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",2,Regio Zuidrand Antwerpen,2,Oui,137 m²,10 m²,Non,,,6 m,27 m²,,46 m²,,Oui,4499805,2,,,,,,,,,,,Non,,Oui,,,,,,,,,,,,20 m²,,,,11 m²,,,,,,,,,,,,
59,,À rafraîchir,2,,180 m²,Équipée,3,11 m²,9 m²,14 m²,2,Oui,,,,,,479 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Oui,390.000 €,Non,"Verbondstraat 116
2000 - Antwerpen",4359071,,,,,,,,,,,,,,,2,Gaz,,,,,,,,,6.5 m,,6.5 m,12 m²,,40 m²,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Après la signature de l’acte,À rafraîchir,2,Urbain,234 m²,,4,,,,3,,Non,69 m²,,,,361 kWh/m²,D,UC2389575,Non communiqué,Non communiqué,Non,425.000 €,Non,"Tavernierkaai 2 b 29
2000 - Antwerpen",,,,,,,,,,Non,Zone non inondable,,,,Non,3,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,,Non,,,,,Non,,,,spir4301,,,Non,,,,,,,,,,,,,,,,,,Non,,,,,,,,Non,,,Non,,,,,,,,,,
61,Après la signature de l’acte,,2,"Zone d'habitat (résidentiel, urbain ou rural)",190 m²,Américaine hyper-équipée,3,,,,2,Oui,Non,48 m²,Connecté,Oui,,196 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,549.000 €,Non,"Leopoldstraat 77
2000 - Anvers",4489984,,,,,,,Oui,Oui,Non,Zone non inondable,,,,Non,3,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,25 m²,Non,5 m,48 m²,5 m,20 m²,,25 m²,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Après la signature de l’acte,Excellent état,2,,312 m²,,6,,,,2,,,215 m²,Connecté,,Oui,235 kWh/m²,C,2222333,Non communiqué,Non communiqué,Oui,849.000 €,Non,"Museumstraat 14 B
2000 - Antwerpen",4517585,,,,,,,,Oui,Non,Zone non inondable,,946 €,,Non,,Gaz,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,,,,110 m²,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Après la signature de l’acte,,2,,312 m²,Hyper équipée,6,25 m²,17 m²,25 m²,2,Oui,Non,215 m²,,Oui,Oui,235 kWh/m²,C,2222333,Non communiqué,Non communiqué,,849.000 €,Non,"Grote steenweg, 511
2600 - Berchem",,,,,,,,Oui,Oui,Non,Zone non inondable,,946 €,,Non,,Gaz,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,,1,Oui,110 m²,,Non,6 m,,6 m,11 m²,,,,,4516912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 m²,11 m²,,,,,,,13 m²,,,,
64,Après la signature de l’acte,,,,,,1,,,,,,,,,,,234 kWh/m²,C,20210915-0002464568-RES-1,Non communiqué,Non communiqué,,280.000 €,Non,"Grote Steenweg 155/1
2600 - Berchem",,,,,,,,,,Non,Zone non inondable,,233 €,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eveline BONROY
65,Après la signature de l’acte,Bon,2,,,,3,,,,2,,Non,80 m²,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,295.000 €,Oui,,,,,,,,,,,,Zone non inondable,,,,Non,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,15 m²,Non,,,,,,,,,,,,Oui,Non,,Non,Oui,Non,Non,Non,,,,,,,,,,,Non,Non,Non,Non,,,,Immeuble à appartements,,,,Non,,,100,985,,,,,,
66,,,2,,240 m²,Équipée,5,,,,3,,Non,203 m²,,,,137 kWh/m²,B,20120507-0001105125-00000001-6,Non communiqué,Non communiqué,Oui,835.900 €,Oui,"Lusthovenlaan 39
2640 - Mortsel",,,,,1955,,,,Oui,Non,Zone non inondable,,2.077 €,,Non,3,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,1,,,,,,,,,Non,,,,55 - 93363861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Après la signature de l’acte,Excellent état,2,,114 m²,Semi-équipée,3,14 m²,13 m²,10 m²,1,,Non,59 m²,,,,327 kWh/m²,D,20210316-0002388347-RES-1,Non communiqué,Non communiqué,Oui,225.000 €,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,,1930,,,,Oui,Non,Zone non inondable,,503 €,,Non,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,5.5 m,,,14 m²,Non,30 m²,,,4893 - WTK1117,,,,,44 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,Excellent état,4,"Zone d'habitat (résidentiel, urbain ou rural)",250 m²,,5,,,,2,Oui,Non,520 m²,Connecté,Oui,,Non communiqué,Non communiqué,20200204-0002244431-RES-1,Non communiqué,Non communiqué,Oui,945.000 €,Non,,,,,,,,,,,,Zone non inondable,,2.131 €,Oui,,2,Gaz,,1,,2,Non,420 m²,30 m²,,,,,,,,Sud,Non,,,,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,,Sud,Villa,,,,,,Oui,,,,,,1,,
69,Après la signature de l’acte,Bon,2,,76 m²,Semi-équipée,2,11 m²,11 m²,,1,Oui,Non,54 m²,,,,405 kWh/m²,E,20210423-0002405969-RES-1,Non communiqué,Non communiqué,Oui,210.000 €,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,,,,,,Oui,Non,Zone non inondable,,426 €,,Non,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,5.5 m,,,11 m²,Non,21 m²,,,4767 - WTK1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Après la signature de l’acte,Bon,3,"Zone d'habitat (résidentiel, urbain ou rural)",275 m²,,5,18 m²,14 m²,16 m²,2,,Non,303 m²,Connecté,Oui,,263 kWh/m²,C,0002459235-RES-1,Non communiqué,Non communiqué,Oui,745.000 €,Non,,,,,,1957,,,,,,,,2.032 €,,Non,3,Gaz,,1,,1,Non,90 m²,,Non,11 m,114 m²,8 m,,,,Nord-ouest,Oui,,,,Non,Non,30 m²,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,"Oui, conforme",16 m²,30 m²,,,Oui,,,,30 m²,,1,,
71,Après la signature de l’acte,,3,,1200 m²,Hyper équipée,6,39 m²,36 m²,17 m²,5,Oui,Non,2829 m²,Connecté,Oui,,176 kWh/m²,B,UC2162020-RES-2,Non communiqué,Non communiqué,Oui,3.995.000 €,Non,"Frankrijklei 93
2000 - Antwerpen",3644572,,,,1947,,,Oui,,Non,Zone non inondable,,,,Non,7,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",5,,5,Oui,880 m²,258 m²,,26 m,114 m²,14.3 m,43 m²,,94 m²,,Oui,,5,,,,,Oui,,,,,Oui,Oui,Non,Oui,,Oui,,,Oui,,,,,,,10 m²,,,,23 m²,26 m²,,,,,,,,,,,
72,,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",218 m²,Équipée,4,,,,3,Oui,,346 m²,Connecté,Oui,,79 kWh/m²,A,2471882,Non communiqué,Non communiqué,Oui,750.000 €,,"Hovestraat 19
2650 - Edegem",Engel & Völkers Antwerpen-Zuid,,,,,,,,,,Zone non inondable,,,,,,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,2,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,Bon,2,,190 m²,Hyper équipée,5,15 m²,12 m²,12 m²,1,,Non,211 m²,,Oui,,143 kWh/m²,B,20210405-0002397005-RES-2,Non communiqué,Non communiqué,Oui,495.000 €,Non,,,,,,1987,,,,,,,,1.824 €,,,2,Gaz,,1,,1,Non,100 m²,,,,,6 m,,,,Sud-ouest,Non,,1,,Non,Non,12 m²,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,,,Toutes sortes,,11 m²,10 m²,,,,,,,11 m²,,,,
74,,Bon,2,,211 m²,,4,,,,2,Oui,Non,172 m²,Connecté,Oui,Oui,398 kWh/m²,D,20160802-0001883839-1,Non communiqué,Non communiqué,Oui,565.000 €,Oui,"Anselmostraat 42/A
2018 - Antwerpen",VK2021-107,,,,1961,,,,,Non,Zone non inondable,,1.363 €,,Non,,Gaz,Autre type de zone,,,,,,,Non,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,Immeuble à appartements,,,,,398,,,,,,,,,
75,À définir,Fraîchement rénové,1,"Zone d'habitat (résidentiel, urbain ou rural)",210 m²,Hyper équipée,3,,,,1,Oui,Non,271 m²,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,649.000 €,Non,,,,,,1955,,Oui,Oui,,,Zone non inondable,,,,,2,Gaz,,1,,1,Oui,161 m²,19 m²,Non,7 m,,7 m,,,,,Oui,,,,Non,Oui,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,,,Toutes sortes,,,,,,,,,,,,,,
76,Après la signature de l’acte,Bon,2,,122 m²,Semi-équipée,2,18 m²,13 m²,,1,Oui,Non,154 m²,,Oui,,434 kWh/m²,E,20211003-0002472058-RES-1,Non communiqué,Non communiqué,Oui,245.000 €,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,,1930,,,,Oui,,Zone non inondable,,513 €,,Non,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,64 m²,,Non,5 m,,5 m,15 m²,Non,26 m²,Nord-ouest,,5104 - TK2110-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1960,367 m²,,,Oui,6,Oui,,,,,,,124 m²,,,,E,20200218-0002246892-RES-1,Non communiqué,Non communiqué,"Oui, pas conforme",,,"Lammekensstraat, 79
2140 - BORGERHOUT",Giel DE KEERSMAECKER,,Non,"nl :
Het goed zal door de kandidaat-kopers kunnen bezocht worden na voorafgaandelijke afspraak met AG VESPA. Contactpersoon Bjorn Raekelboom 03 432 82 77 bjorn.raekelboom@antwerpen.be",Après la signature de l’acte,À rénover,,Oui,Équipée,Non,Non,299.000 €,2.677 €,Non,,Zone non inondable,,Non,,,,,257 m²,484 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,Oui,,,,,,Mazout,,,,,,,,,,,,,
78,,Excellent état,3,,216 m²,,3,,,,3,Oui,,460 m²,,,Oui,255 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,935.000 €,Non,"Sint-Katelijnevest 24
2000 - Antwerpen",4531395,,,,,,,,,Non,Zone non inondable,,1.410 €,,Non,,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",1,Zuiden van Antwerpen,1,,,,Non,,,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,2,,230 m²,Hyper équipée,5,,,,2,Oui,,478 m²,Connecté,Oui,Oui,281 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,1.275.000 €,,"Hovestraat 19
2650 - Edegem",Engel & Völkers Antwerpen-Zuid,,,,,,,,,,Zone non inondable,,,,,,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",2,,2,,,,,11.5 m,,,,,,Ouest,Oui,,,,Oui,,,,,,,,,,,,Oui,,,,,,,,,,Oui,,Ouest,,,,,,,,,,Oui,,,1,,
80,1967,,,,3,,Oui,,,,338 m²,274 kWh/m²,,C,,,,20210511-0002413825-RES-1,Non communiqué,Non communiqué,Oui,Non,,,Jill ROBERTS,,,Non,"nl :
elke woe. van 13u-15u en elke zat. van 10u-12u, behalve het gelijkvloers enkel op woe. en alles ENKEL NA TEL. AFSPRAAK MET NOTARISKANTOOR MEERT (vanaf 08/09/2021)",Après la signature de l’acte,291 m²,3,,,Non,Zone non inondable,2.833 €,Oui,"Van Bréestraat, 23
2018 - Antwerpen",,440.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
