,Lieu de la vente,Séance unique,Modalités de visite,Disponible le,Visite virtuelle,Salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Bureau,Grenier,Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Mise à prix,Revenu cadastral,Immeuble de rapport,À partir de,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Salle à manger,Dressing,Salles de douche,Buanderie,Espace professionnel,Cave,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Prix,Largeur du terrain à rue,Terrasse,Adresse,Référence externe,Quartier ou lieu-dit,Année de construction,État du bâtiment,Type d’environnement,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Site internet,Surface constructible totale au sol,Surface du salon,Surface de la cuisine,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la cave,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Surface de bureau,Attestation as-built,Autorisation de lotissement,Charges mensuelles,Combien de feux ouverts ?,Surface de l'espace professionnel,Type de construction,Obligation de construire,Pourcentage loué,Revenu mensuel actuel,Orientation de la terrasse,Attestation de conformité des citernes à mazout,Nom de l'agent,Nom du bien,Nombre d'annexes,Niveau E (performance énergétique globale),Description libre du PEB,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Surface du grenier
51,,,,1 janvier 2000 - 00:00,,Oui,Équipée,6,5,5,,,,,295 kWh/m²,F,Non communiqué,59 kg CO₂/m²,Non communiqué,,,Non,Selon le locataire,,2,,,220 m²,,,,,,,Non,,72 m²,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,615.000 €,,Oui,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",,,1900,Bon,Urbain,9 m²,9 m²,9 m²,9 m²,9 m²,4512569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,Hyper équipée,6,4,5,Oui,,,Sud,182 kWh/m²,D,20160715-0000347043-01-4,38 kg CO₂/m²,Non communiqué,,3.785 €,Oui,À définir,6 m,2,,,420 m²,Oui,Oui,,Oui,Oui,,Non,,210 m²,Oui,,,Oui,Connecté,Oui,100 m²,30 m²,,,,Oui,Oui,,Oui,,,,,Mazout,,,,,Oui,1.350.000 €,35 m,,"rue Antoine Labarre 57
1050 - Ixelles",,Flagey,1896,Excellent état,"Zone d'habitat (résidentiel, urbain ou rural)",53 m²,16 m²,16 m²,14 m²,14 m²,,,50 m²,15 m²,,3 m²,,,,,25 m²,,,300 €,1,25 m²,,,,,Sud,,P ROJO,,,,,,,,,,,,,,
53,,,,,,,,4,3,,,,,,342 kWh/m²,F,20191030-0000559245-01-8,68 kg CO₂/m²,Non communiqué,,1 €,Non,Après la signature de l’acte,8 m,2,,,450 m²,,,,,,,Non,Oui,311 m²,,,,,Connecté,Oui,,,,Non,Non,,Oui,,,,,,,Gaz,Non,Non,Non,Non,Oui,1.600.000 €,,,"Ch. de Waterloo 1302
1180 - Uccle",,,1930,Bon,,,,,,,,,,,Autre type de zone,45 m²,Oui,Non,Non,Zone non inondable,,,Non,,,,,,,,,,,,,342,,,,,,,,,,,
54,,,,,175 m²,,6,15 m²,4,35 m²,,,,,E,Non communiqué,51 kg CO₂/m²,Non communiqué,Gaz,,Non,"Avenue d'Auderghem, 277
1040 - Etterbeek",Après la signature de l’acte,5 m,2,,,30 m²,,,4,,,Oui,69 m²,,Connecté,,,,,Oui,20 m²,,Non,,Non,Oui,Non,,,,,,256 kWh/m²,,Oui,,,,,Oui,706 €,,,4531344,,,1929,Bon,,15 m²,14 m²,15 m²,14 m²,4,,Oui,Équipée,,639.000 €,,175 m²,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,5,2,4,,,,,330 kWh/m²,F,Non communiqué,66 kg CO₂/m²,Non communiqué,,877 €,Non,,5 m,2,1,,190 m²,,,,,,Oui,Non,,60 m²,,,,,,,,5 m²,,,,,,,,,,,,Gaz,,,,,Oui,695.000 €,5 m,,"Rue de Tenbosch 85/117
1050 - Ixelles",1920 - 2149,Flagey,,À rénover,,,,,,,,,40 m²,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,8,8,8,,,,,196 kWh/m²,D,Non communiqué,39 kg CO₂/m²,Non communiqué,,,Non,,4 m,2,,,200 m²,Oui,,,,,Oui,Non,,52 m²,,,,,,,,5 m²,,,,,,,,,,,,Gaz,,,,,Oui,780.000 €,4 m,,"Rue de Tenbosch 85/117
1050 - Ixelles",1971 - 2147,Châtelain,1876,Excellent état,,20 m²,20 m²,20 m²,20 m²,14 m²,,,32 m²,5 m²,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,Hyper équipée,6,3,4,Oui,,,Sud-est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,1.807 €,Non,Après la signature de l’acte,6 m,2,,,330 m²,Oui,Oui,,Oui,Oui,Oui,Non,,135 m²,Oui,Oui,,Oui,Connecté,Oui,60 m²,5 m²,,,,Oui,,,,,,,,Gaz,,,,,,1.090.000 €,6 m,,"Avenue René Gobert 26
1180 - Uccle",,PARC TENBOSCH - CHATELAIN - LEPOUTRE,1900,Bon,"Zone d'habitat (résidentiel, urbain ou rural)",30 m²,25 m²,20 m²,15 m²,14 m²,,,50 m²,30 m²,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,Oui,Non,Non,,,,Non,,1,,,,,,Sud-est,,Cédric Mathonnet,PARC TENBOSCH - CHATELAIN - LEPOUTRE,,,,,,,,,,,,,
58,,,,14 septembre 2021 - 00:00,,,Américaine hyper-équipée,5,2,4,Oui,Oui,,,277 kWh/m²,F,Non communiqué,70 kg CO₂/m²,Non communiqué,,2.188 €,Non,Après la signature de l’acte,,2,,,350 m²,,,2,,,,Non,,225 m²,,,,,,,100 m²,6 m²,,,,,,,,,,,,Mazout,,,,,,1.275.000 €,,,"Avenue Louis Lepoutre 109
1050 - Ixelles",,Bruxelles (19 communes),,À rénover,Isolé,30 m²,17 m²,20 m²,20 m²,23 m²,4506743,,90 m²,,,,,,,,,,,,,35 m²,,,,,,,,,,,,,,,,,,,,,
59,,,,1 juin 2021 - 00:00,405 m²,,14 m²,27 m²,2,Oui,,,,,G,202104020000585976014,80 kg CO₂/m²,Non communiqué,Gaz,,Non,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",Après la signature de l’acte,,2,,,53 m²,Américaine hyper-équipée,,3,,,Non,400 m²,,Connecté,,,,,Non,260 m²,25 m²,404 kWh/m²,,,,,,,,,,,,Oui,,,,,Zone non inondable,1 €,,,4419018,,,1860,Bon,Urbain,21 m²,14 m²,30 m²,24 m²,2,,,Oui,6,,,,,,1.400.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,Oui,,5,3,1,Oui,,,,448 kWh/m²,G,20200519­0000568349­01­8,89 kg CO₂/m²,Non communiqué,,10.934 €,Non,Après la signature de l’acte,16 m,3,2,,917 m²,Oui,Non,,,,Oui,Non,Non,,Non,Non,Non,Oui,Connecté,Oui,,,Non,Non,Non,Oui,Oui,,Non,,,Non,,Gaz,Non,Non,Non,Non,Oui,3.000.000 €,28 m,,"Avenue Louise 404a
1050 - Ixelles",,,1935,Bon,,1 m²,,,,,3777388,917 m²,,,,,,Non,Non,,,Non,Non,,,,,,,,,Non,,,,,,,,,,,,,,,
61,,,,1 décembre 2022 - 00:00,,,,,,,,,,,45 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Non,À la livraison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rue Defacqz 40
1050 - Ixelles",,,,,,,,,,,4365564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,Équipée,6,3,1,Oui,,,,238 kWh/m²,E,20210617-0000590945-01-5,47 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,9.2 m,2,1,,530 m²,Oui,Oui,,Oui,,,Non,Oui,,Non,Non,Non,Oui,Connecté,Non,,1 m²,Non,Non,Non,Non,Oui,,Oui,,,Non,,Gaz,Non,Non,Non,Non,Oui,2.650.000 €,,,"Avenue Louise 404a
1050 - Ixelles",,,1912,Excellent état,,26 m²,20 m²,,,,5132583,,40 m²,,,1 m²,,,,,44 m²,Non,,,1,,,,,,,Non,,,,,,,,,,,,,,,
63,,,,31 août 2020 - 00:00,,,Américaine hyper-équipée,5,3,4,Oui,,,,293 kWh/m²,F,20200625-000057047-01-49,58 kg CO₂/m²,Non communiqué,,2.542 €,Non,Immédiatement,5.55 m,2,1,,320 m²,Oui,,2,,,Oui,Non,,84 m²,,,,,Connecté,Oui,,26 m²,,Non,Non,Oui,Oui,,,,,Non,,Gaz,,,,,Oui,1.095.000 €,5.55 m,,"Place Georges Brugmann, 11
1050 - Ixelles",,,1900,Excellent état,,21 m²,21 m²,18 m²,17 m²,12 m²,4527919,75 m²,65 m²,41 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,7,4,4,,,,Est,171 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,3.502 €,Oui,,,2,1,,315 m²,,,,,,Oui,Non,,193 m²,,,,,,,100 m²,8 m²,,,,,,,,,,,,Mazout,,,,,Oui,1.050.000 €,6.4 m,,"Rue de Tenbosch 85/117
1050 - Ixelles",1808 - 2112,Cimetière d'XL,1950,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,Américaine hyper-équipée,2,1,2,Non,,,,Non communiqué,Non communiqué,20210903-0000594991-01-9,53 kg CO₂/m²,Non communiqué,,533 €,Non,Après la signature de l’acte,,2,,,80 m²,,Non,,,Non,,Non,Non,45 m²,Non,Non,Non,Non,Connecté,Oui,,9 m²,,,,,,,,,,,,Gaz,Non,Non,Non,Oui,Oui,390.000 €,,,,,,1910,Excellent état,,13 m²,17 m²,,,,,,,,,,,,Non,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,
66,,,,31 octobre 2021 - 00:00,,,Américaine hyper-équipée,5,4,4,Oui,,,,139 kWh/m²,C,Non communiqué,27 kg CO₂/m²,Non communiqué,,2.260 €,Oui,Après la signature de l’acte,580 m,2,,,350 m²,,,1,,,Oui,Oui,,150 m²,,,,,Connecté,Oui,40 m²,54 m²,,Non,Non,Oui,,,,,,Non,,Gaz,,,,,Oui,1.390.000 €,,,"Bld. Brand Whitlock 108
1200 - Woluwe-Saint-Lambert",4365781,,1913,Excellent état,,18 m²,17 m²,14 m²,14 m²,10 m²,,,50 m²,15 m²,,,,,,,,"Oui, conforme",,,,10 m²,,,,,,,,,,,,,,,,,,,,,
67,,,,30 juin 2021 - 00:00,,,Américaine hyper-équipée,5,4,4,,Oui,,,275 kWh/m²,E,201306070000169695016,59 kg CO₂/m²,Non communiqué,,2.183 €,Non,Après la signature de l’acte,6 m,2,,,400 m²,Oui,,1,,,Oui,Non,,190 m²,,,,,,,90 m²,15 m²,,,,,,,,,,,,Gaz,,,,,,1.495.000 €,,,"Place Georges Brugmann, 11
1050 - Ixelles",,,1902,Bon,,27 m²,21 m²,19 m²,24 m²,18 m²,4401325,,17 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,Hyper équipée,5,5,6,Oui,,,Sud,70 kWh/m²,B,20111121000032625014,20 kg CO₂/m²,Non communiqué,,4.000 €,Non,Après la signature de l’acte,7.5 m,3,2,2,570 m²,Oui,Oui,,Oui,,Oui,Non,Oui,300 m²,,Oui,,Oui,Connecté,Oui,100 m²,80 m²,,Oui,Oui,,Oui,,Oui,,,Oui,,Gaz,,,,,Oui,4.950.000 €,11 m,,"Avenue René Gobert 26
1180 - Uccle",,,2012,Excellent état,,,,,,,,,70 m²,15 m²,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,Oui,Non,Non,,20 m²,,Non,,1,,,,,,Sud,,Cédric Mathonnet,,1,,,,,,,,,,,,
69,Non,Visites sans rendez-vous chaque mercredi de 18h-20h et chaque samedi de 11h à 13h ( tel : +32474782057 ),Immédiatement,,,Oui,5,1,1,Oui,,,,,E,202009010000574086-01-8,Non communiqué,Non communiqué,Gaz,Oui,,"Avenue Louise, 126
1050 - Bruxelles-Quartier Louise",1929,,Urbain,,,,Équipée,,1,,,251 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,Oui,,856.500 €,,,,Antoine COLIN,,,Excellent état,2,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,Oui,Semi-équipée,4,1,3,Oui,Oui,,,325 kWh/m²,F,001044319,80 kg CO₂/m²,Non communiqué,,2.605 €,Non,Après la signature de l’acte,,2,,,635 m²,,,1,,,Oui,Non,,350 m²,,,,,Connecté,Oui,220 m²,15 m²,,Non,Non,Oui,Oui,,,,,Non,,Gaz,,,,,Oui,1.950.000 €,,,"Place Georges Brugmann, 11
1050 - Ixelles",,,1908,Bon,,15 m²,15 m²,15 m²,,,4399900,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,Américaine hyper-équipée,4,3,5,Oui,Oui,,,261 kWh/m²,E,20111214-0000040334-01-5,55 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,6.5 m,2,,,440 m²,,,,,,Oui,,,177 m²,,,,,,Oui,75 m²,30 m²,,Non,Non,Oui,Oui,,,,,Non,,Gaz,,,,,Oui,1.990.000 €,6.5 m,,"Avenue Louise 200
1050 - Bruxelles",,,1911,Bon,,25 m²,20 m²,17 m²,25 m²,,4508685,,125 m²,35 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,Hyper équipée,5,3,5,Oui,Oui,,,268 kWh/m²,E,20121219-0000136333-01-1,57 kg CO₂/m²,Non communiqué,,4.438 €,Non,Après la signature de l’acte,8 m,2,1,1,540 m²,,,2,,,Oui,,,170 m²,,,,,Connecté,Oui,,50 m²,,,,,,,,,,,,Gaz,,,,,,2.350.000 €,,,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",,,1932,Excellent état,,,,,,,030/26276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,15 février 2021 - 00:00,,,Pas équipée,5,2,3,Oui,,,,314 kWh/m²,F,Non communiqué,62 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,,2,,1,550 m²,,,1,,,Oui,Non,,366 m²,,,,,,,233 m²,35 m²,,,,,,,,,,,,Gaz,,,,,,1.695.000 €,,,"Rue Defacqz 40
1050 - Ixelles",,,1898,À rénover,,35 m²,26 m²,25 m²,20 m²,12 m²,4492440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,550 m²,,5,50 m²,3,,Oui,208 m²,,,D,20120810-0000105283-01,43 kg CO₂/m²,Non communiqué,Gaz,,,"Avenue Louise 200
1050 - Bruxelles",Après la signature de l’acte,8 m,2,,,51 m²,,,Oui,,,,,,Oui,,,,,,65 m²,30 m²,Non,,Non,Oui,,Non,,,,,200 kWh/m²,,Oui,,,,,2.190.000 €,Non,,,4411621,,,1900,Bon,,23 m²,30 m²,25 m²,30 m²,5,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,Sud,147 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,5.285 €,Oui,Après la signature de l’acte,7.85 m,2,,,750 m²,,,,,,,Oui,,193 m²,,,,,Connecté,Oui,39 m²,24 m²,,Oui,,,,Oui,,,,,,Gaz,,,,,Oui,2.520.000 €,7.85 m,,"Rue Paul Devigne 70 boite 33
1030 - Schaerbeek",,,1870,Excellent état,,,,,,,ANTOINE D.,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,Non,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,
76,,,,,,,,16,1,,Oui,Oui,,,239 kWh/m²,E,T20210423-002,48 kg CO₂/m²,Non communiqué,,17.379 €,Non,Après la signature de l’acte,14 m,2,,5,1200 m²,,,,,,Oui,,,700 m²,,,,,Connecté,Oui,,30 m²,,Oui,,,,,,,,,,Gaz,,,,,,4.250.000 €,,,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",,,1920,Excellent état,,,,,,,030/27404,,,,Zone d'habitat mixte (habitat & activité économique),,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,29 mars 2019 - 00:00,,Oui,Équipée,1,3,10,Oui,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,13.401 €,Oui,Après la signature de l’acte,,2,,,1425 m²,,,5,,,Oui,Non,,500 m²,,,,,,Oui,100 m²,54 m²,,Oui,Non,,,,,,,Non,,Mazout,,,,,Oui,3.200.000 €,,,"Place Georges Brugmann, 11
1050 - Ixelles",,,1900,Bon,,,,,,,4526920,1425 m²,,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,,Non,Non,,767 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,Hyper équipée,7,6,5,Oui,Oui,,,146 kWh/m²,C,20210415-000.586873-01-4,29 kg CO₂/m²,Non communiqué,,4.910 €,Non,Après la signature de l’acte,8 m,2,2,2,666 m²,Oui,,,,,Oui,,,402 m²,,,,,Connecté,Oui,,,,,,,,,,,,,,Gaz,,,,,,3.450.000 €,,Oui,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",,,1920,Excellent état,,30 m²,22 m²,19 m²,16 m²,16 m²,030/27575,,100 m²,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,31 décembre 2020 - 00:00,,,Équipée,3,2,3,,,,,316 kWh/m²,F,20120521-0000087799-01-5,67 kg CO₂/m²,Non communiqué,,1.980 €,Non,Après la signature de l’acte,,2,1,,170 m²,,,,,,Oui,Non,,100 m²,,,,,,,,12 m²,,,,,,,,,,,,Gaz,,,,,Oui,570.000 €,,,"Place Georges Brugmann, 11
1050 - Ixelles",,,1900,À rafraîchir,,33 m²,14 m²,14 m²,,,4497158,,33 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
