,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Buanderie,Surface de la cave,Meublé,Surface du terrain,Terrain plat,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Parlophone,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Largeur de la façade à rue,Parkings extérieurs,Combien de feux ouverts ?,Dressing,Salles de douche,Bureau,Espace professionnel,Porte blindée,Terrain arrière,Raccordement à l'égout,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Parkings intérieurs,Grenier,Isolé,Attestation de conformité des citernes à mazout,Jardin,Terrasse,Climatisation,Panneaux photovoltaïques,Accessible aux personnes avec un handicap,Nom du bien,Ascenseur,Accès sécurisé / alarme,Interphone vidéo,Surface de bureau,Salon,Surface du grenier,Terrain à front de rue,Terrain boisé,Pompe à chaleur,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Cave,Concierge,Jacuzzi,Sauna,Piscine,Internet,Obligation de construire,Visite virtuelle,Largeur du terrain à rue,Mise à prix,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Disponible le,Niveau E (performance énergétique globale),Valeur du bien,Bouquet,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Surface de l'espace professionnel,Nombre d'annexes,Surface constructible totale au sol,Informations supplémentaires,Charges mensuelles
31,,,,,1969,Bon,3,,,"Zone d'habitat (résidentiel, urbain ou rural)",,175 m²,,,,,,,4,,,2,Non,,,,,,,,362 m²,9.5 m,588 kWh/m²,F,20100630-0000579172-00000002-2,Non communiqué,Gaz,,,Oui,Non,,Zone d'extension d'habitat,399.000 €,,,,,Américaine équipée,,Non,,,,,,,,,,,,Non communiqué,,,,,,,,,,,,,,,Non,,,,Non,,,,,,,Non,,Non,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,Après la signature de l’acte,,1956,Bon,,,,,,3,,,7,3,Oui,,42 m²,Non,,Non,,,476 m²,Non connecté,Oui,265 m²,21 m²,C,Gaz,Non,Non,Oui,Non,Non,Non,Zone non inondable,,,,,,,Oui,15 m²,34 m²,,Oui,,,Non,Non,,,,,,,,Non communiqué,,,,,,623 m²,,,,,20201013-0002327224-RES1,Non communiqué,291,,Autre type de zone,,,,,,,,,,,,,,,,291 kWh/m²,,,,,,,,,,,,
33,,,,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,4,,,,,,,,,,,237 m²,,,,,,,,Non communiqué,Non communiqué,202104120002395662,Non communiqué,Non communiqué,,,,,,490.000 €,,,"Rue Cathedrale 54/1
4000 - Liège",Assurfinans IMMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Après la signature de l’acte,,,,2,,141 m²,18 m²,Oui,,13 m²,3,13 m²,13 m²,13 m²,,,1,2,,29 m²,,117 m²,,,36 m²,,,,,300 kWh/m²,C,20210920-0002465820-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",359.000 €,817 €,Non,"Albert De Beusscherplein 2
1933 - Sterrebeek",4500776,,,,,,,,,,,,,Non,Oui,,,,,,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Après la signature de l’acte,ZAVENTEM en omgeving,1951,À rénover,,4,120 m²,,34 m²,Pas équipée,8 m²,2,12 m²,,,,13 m²,1,,,,Oui,,,576 m²,,,,,Oui,724 kWh/m²,F,20200616-0002282198-res-1,Non communiqué,Non communiqué,Gaz,,,,Oui,,419.000 €,Non,"Koningin Astridlaan 237/1
1950 - Kraainem",,1,,,,,,,,,,,,,4,Oui,,,,350 m²,,,,,,,,,,,,,,,,,4076195,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Après la signature de l’acte,,1974,Bon,,,155 m²,,,,,3,15 m²,10 m²,8 m²,,,1,2,,,Non,455 m²,,,250 m²,Sud,,,,399 kWh/m²,D,20160224-0001270619-7,Non communiqué,Non communiqué,Gaz,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",390.000 €,1.745 €,Non,"Mechelsesteenweg 134
1933 - Sterrebeek",2475 - 60258,,,,,,,,,,,Non,Oui,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,À définir,,1980,Bon,4,,Oui,,Équipée,15 m²,4,15 m²,12 m²,10 m²,2,,,2,Oui,,,655 m²,Non,,250 m²,8 m²,,228 kWh/m²,,,C,20210915-0002464501-RES-1,14 kg CO₂/m²,Non communiqué,Gaz,Oui,695.000 €,,,,Non,,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4500319,,,4,,,2,,,,,,,,,,2,Non,,,,,,,,,,,,,Oui,,,,,,,,,Oui,,,,,,,210 m²,,,,,,,1 février 2022 - 00:00,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,Après la signature de l’acte,2020,,,Excellent état,3,,,,,207 m²,,47 m²,12 m²,12 m²,14 m²,1,2,,,,548 m²,Connecté,24 m²,,Non,Non,Oui,,,,,,,,,,2,,,,,,,,,,,,,Américaine hyper-équipée,,77 m²,,,,,,,,,Non,,,Non,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,À la livraison,,4,,,,,2,,,,,,268 m²,,,,4,2,,,,,,,,973 m²,Oui,Non communiqué,Non communiqué,Non communiqué,,,,,,Non communiqué,,Non communiqué,1.124.878 €,Non,,,,,,,,,,,,,,,Excellent état,,,,,Non,,,,,,,,,,,,,,,,,"Kerkstraat, 38
1755 - Oetingen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Après la signature de l’acte,,1949,Fraîchement rénové,3,"Zone d'habitat (résidentiel, urbain ou rural)",207 m²,63 m²,,Équipée,,4,16 m²,14 m²,14 m²,,,2,3,,,Non,549 m²,,,,,,,,340 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,625.000 €,1.155 €,Non,"Clos des Essarts 6
1150 - Bruxelles",840 - 1640,,1,1,,,Oui,,,,,Non,,,,,,,,,,,,,,,Oui,,17 m²,,,,,,,,,,Oui,,,,,,,,6.75 m,,,,,,,,,,,,,,,,,,,
42,,,,À définir,,,Excellent état,168 m²,,25 m²,Équipée,8 m²,3,16 m²,14 m²,,,,Non,,,Oui,Non,,Connecté,,Oui,,Oui,,Est,345 kWh/m²,D,20210614-0002429059-RES-1,Non communiqué,Non communiqué,Non,,Oui,,Zone inondable potentielle,445.000 €,919 €,Non,"Dr. V. Dewalsplein 23
3070 - Kortenberg",,,,11 m²,,,,,,519 m²,,,,,,Oui,,,Oui,Est,,,,,,,,,,,,,Gaz,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,À définir,,1967,,4,,,35 m²,Oui,Équipée,12 m²,3,19 m²,17 m²,13 m²,,,1,2,Oui,,Non,510 m²,Non,Oui,,,20 m²,Sud,,287 kWh/m²,C,20210923-0002468048-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,,614.000 €,2.010 €,Non,,,10 m,,,Non,,Non,Non,Non,Non,Connecté,,,,,,Oui,Oui,,,,,Oui,,,,,,,,,Non,Non,Non,Oui,Oui,Villa,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Après la signature de l’acte,,1994,Fraîchement rénové,2,"Zone d'habitat (résidentiel, urbain ou rural)",199 m²,28 m²,,Hyper équipée,22 m²,4,11 m²,8 m²,10 m²,9 m²,,2,3,,,Non,30 m²,Non,Oui,,,30 m²,Sud-ouest,Oui,Non communiqué,Non communiqué,216,Non communiqué,Non communiqué,Gaz,Oui,,,,449.000 €,800 €,Non,,,,,,Non,1,Non,Non,Oui,Non,Connecté,,,,,,,,,,,Non,Non,Non,,Non,Oui,Oui,,,,Non,Non,Non,Non,Non,Toutes sortes,,,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,
45,,,,Bon,2,,145 m²,,,,,3,,,,,,1,,,,Non,132 m²,,,40 m²,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,360.000 €,,Non,"René Declercq 8D
1150 - Woluwe-St-Pierre",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4358501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Après la signature de l’acte,Sterrebeek,1903,,2,Urbain,180 m²,28 m²,Oui,Équipée,14 m²,3,24 m²,18 m²,17 m²,,,1,1,,,,185 m²,,,,,20 m²,,,720 kWh/m²,F,20210628-0002434903-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,761 €,Non,"Mechelsesteenweg 231
1933 - Sterrebeek",4527383,,1,,,,,,,,Connecté,,Oui,Non,,1,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,À définir,,1989,Excellent état,4,,,41 m²,Oui,Équipée,10 m²,4,14 m²,10 m²,10 m²,9 m²,,2,2,,,Non,1156 m²,,,,,,,Oui,280 kWh/m²,C,20210603-0002424192-RES-1,Non communiqué,Non communiqué,Mazout,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",695.000 €,2.263 €,Non,"Dorp 6
1933 - Sterrebeek",4457015,,3,,,1,,,,,,,Oui,Non,Oui,1,,,,,Oui,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,1970,,4,,190 m²,48 m²,,Équipée,,4,16 m²,14 m²,14 m²,13 m²,,,3,,,Non,,,,400 m²,Sud-ouest,20 m²,,,374 kWh/m²,D,20210602-0002423497-RES-1,Non communiqué,Non communiqué,,Oui,,,,450.000 €,1.807 €,Non,"Av. Henri Conscience 74
1140 - Evere",9325,,3,1,,1,,,,,,Non,,,,1,,,,,,,Non,,,,,,,,,,,Non,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,1933,Bon,2,,211 m²,,,,,4,,,,,,,,,,,600 m²,,,,,,,,706 kWh/m²,F,EP19191,Non communiqué,Non communiqué,Gaz,Oui,,,,,1.152 €,Non,"2 Rue Solleveld
1200 - Bruxelles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.000 €,240.000 €,Non,Non,Oui,1,72,,,,,
51,Après la signature de l’acte,Omgeving Kraainem,1850,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",240 m²,30 m²,Oui,Hyper équipée,17 m²,5,24 m²,22 m²,15 m²,16 m²,16 m²,2,3,,,Non,121 m²,,Oui,,,26 m²,,,108 kWh/m²,B,20210916-0002465132-RES-1,Non communiqué,Non communiqué,,Oui,,Zone non inondable,,498.000 €,1.223 €,Non,"Wezembeeklaan, 120
1950 - Kraainem",4530787,,,,,2,,,,,Connecté,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 janvier 2022 - 00:00,,,,,,,,,,,,,
52,Après la signature de l’acte,,1960,À rafraîchir,4,"Zone d'habitat (résidentiel, urbain ou rural)",40 m²,Oui,Équipée,13 m²,6,20 m²,20 m²,13 m²,10 m²,10 m²,3,3,,,,5136 m²,Connecté,,,Oui,,,,,D,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,2.690.000 €,,,,4.732 €,Non,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4383166,,13 m,5,,,Oui,,,,,4500 m²,,,,,1,Non,,,,Non,,,Oui,,Non,Oui,,,,,,,,,,,,Oui,,,,361 kWh/m²,,,250 m²,,,,,,,18 juin 2021 - 00:00,,,,,,,,,,,,,
53,Après la signature de l’acte,,1989,Excellent état,4,"Zone d'habitat (résidentiel, urbain ou rural)",22 m²,Oui,Américaine hyper-équipée,16 m²,6,16 m²,12 m²,14 m²,14 m²,14 m²,3,3,74 m²,,,Oui,Connecté,,1650 m²,85 m²,,Non,,Oui,B,Non communiqué,9999 kg CO₂/m²,Non communiqué,1.850.000 €,,,,,,3.888 €,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4499517,,28 m,6,,,4,Oui,,Oui,,Oui,,,,,,Non,,,,,,,Oui,,Oui,Oui,Oui,Oui,,,,,,,,,,Oui,,,,184 kWh/m²,,,600 m²,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Selon le locataire,,1962,Bon,4,Pays,39 m²,Oui,Équipée,5,,26 m²,20 m²,16 m²,15 m²,14 m²,2,3,Non,,,599 m²,Oui,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Zone non inondable,,,,875.000 €,,4.137 €,Non,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",4363974,,,,,,,,,,,,,,,,2,,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,241 m²,,,,,,,31 octobre 2021 - 00:00,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Après la signature de l’acte,,1946,Bon,4,,629 m²,50 m²,,Hyper équipée,9 m²,10,19 m²,11 m²,46 m²,16 m²,15 m²,6,6,,,,1886 m²,,,,,,,,185 kWh/m²,B,20210412-0002400082-RES-1,Non communiqué,Non communiqué,Mazout,Oui,,,,Faire offre à partir de 1.150.000 €,7.543 €,Non,"Square Levie 3
1200 - Woluwe-St-Lambert",4526464,,1,,,,,,,,,,,,,2,Oui,,,,Oui,,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,À définir,,1989,Excellent état,4,,600 m²,20 m²,Oui,Hyper équipée,20 m²,6,15 m²,14 m²,14 m²,14 m²,14 m²,2,4,,,Non,2471 m²,,Oui,,,45 m²,,Oui,184 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,,1.850.000 €,3.887 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4526194,,6,,,1,,,,,Connecté,,,,,,,,,,,,,Oui,,Non,Oui,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
60,À définir,,1947,Bon,4,,400 m²,50 m²,,Hyper équipée,,4,25 m²,14 m²,12 m²,9 m²,,3,3,,,Non,840 m²,,Oui,400 m²,,30 m²,,,383 kWh/m²,D,20121116-0001250942-00000002-6,Non communiqué,Non communiqué,Gaz,,,Zone non inondable,,1.045.000 €,,Non,"Avenue Orban 240
1150 - Woluwe-St-Pierre",,,2,,,2,Oui,,,,Connecté,,,,,,,,,,,,,Non,,Non,Oui,,8 m²,,,,,,,,,4496831,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
61,Après la signature de l’acte,,2010,Excellent état,4,,270 m²,46 m²,Oui,Américaine hyper-équipée,,5,25 m²,20 m²,16 m²,13 m²,50 m²,3,3,,,Non,452 m²,,Non,280 m²,,,,,119 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,,895.000 €,4.545 €,Non,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",4497765,,1,,,,,,,,,,,,,1,,,,,Oui,,,Non,,Non,Oui,,,,,,,,,,,,Oui,,,,Non,,,,,,,,,,30 avril 2022 - 00:00,,,,,,,,,,,,,
62,Après la signature de l’acte,,1970,À rénover,4,,960 m²,43 m²,Oui,Équipée,55 m²,8,18 m²,20 m²,19 m²,18 m²,22 m²,5,8,Oui,51 m²,Non,3565 m²,,Oui,,Ouest,,Sud-ouest,,352 kWh/m²,D,201909270002200099-RES-1,Non communiqué,Non communiqué,Gaz,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.950.000 €,10.156 €,Non,"Rue Alphonse Renard 1
1050 - Ixelles",,,6,1,Oui,2,Oui,Oui,,Oui,Connecté,"Oui, conforme",Oui,Oui,,2,,,,Oui,Oui,,,,,Oui,Oui,,29 m²,,35 m²,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,38 m²,1,,,
63,Après la signature de l’acte,,1952,Bon,3,,134 m²,32 m²,,Américaine équipée,12 m²,4,11 m²,7 m²,12 m²,16 m²,,1,2,,,Non,268 m²,,Oui,,,20 m²,,,488 kWh/m²,E,20210628-0002434996-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,,460.000 €,,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4399729,,1,,,1,,,,,Connecté,,,,,1,Oui,,,,,,,Oui,,Non,Oui,,,,,,,,,,,,Oui,,,,Non,,,,,,,,,,,,,,,,,,,,,190 m²,,
64,Après la signature de l’acte,,1983,Bon,4,,250 m²,50 m²,,Hyper équipée,14 m²,4,18 m²,16 m²,16 m²,8 m²,,2,4,,,Non,677 m²,,Oui,350 m²,,,,,236 kWh/m²,C,20160816-0001886828-1,Non communiqué,Non communiqué,Gaz,Oui,,,,849.000 €,,Non,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",4518433,,1,,,,,,,,Connecté,,Oui,,,2,Oui,,,,Oui,,,Non,,Non,Oui,,,,,,,,,,,,Oui,,,,Non,,,,,,,,,,30 septembre 2021 - 00:00,,,,,,,,,,,,,
65,Après la signature de l’acte,,1961,Bon,4,,70 m²,Oui,Hyper équipée,8,,10 m²,16 m²,16 m²,34 m²,38 m²,6,5,Oui,,,2410 m²,Connecté,,2120 m²,50 m²,,Oui,,,E,20091105-0000348228,1 kg CO₂/m²,Non communiqué,Gaz,Oui,Zone non inondable,,1.845.000 €,,Non,,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4490266,,,2,,,6,,,,,Non,,,,,4,,,,,,,,Oui,,Oui,Non,,,,,,,,,,,,Non,,,,409 kWh/m²,,,500 m²,,,,,,,1 juin 2020 - 00:00,,,,,,,,,,,,,
66,Après la signature de l’acte,,1946,Bon,4,,470 m²,52 m²,,Semi-équipée,9 m²,6,46 m²,19 m²,16 m²,16 m²,11 m²,6,7,,,Non,1886 m²,,,1886 m²,,30 m²,,,185 kWh/m²,B,20210412-0002400082-RES-1,Non communiqué,Non communiqué,Mazout,Oui,Non,Zone non inondable,Parc résidentiel,1.150.000 €,7.543 €,Non,"GEMEENTEPLEIN 7
1560 - Hoeilaart",1816498 - 1239214,20 m,5,,,,Oui,,,,,Non,Oui,Non,Oui,4,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,,,,,,,,45 m,,,,,,,,,,,,,,,,,,,
67,Après la signature de l’acte,,1991,Excellent état,4,,607 m²,,,Américaine hyper-équipée,,6,15 m²,14 m²,14 m²,14 m²,14 m²,4,4,,,,2471 m²,,,,,45 m²,,,184 kWh/m²,B,20210516-0002415735-res-1,Non communiqué,Non communiqué,Gaz,Oui,,,,1.850.000 €,7.523 €,Non,"Koningin Astridlaan 237/1
1950 - Kraainem",4514652,,8,,,3,Oui,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,Après la signature de l’acte,,1960,Excellent état,4,1,5,250 m²,Équipée,,,,,20 m²,,15 m²,,,,,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,,,,D,,20210205-0002368735,Non communiqué,Non communiqué,,,,,6,16 m²,,,,,,,,,,,,,,3,,,15 m²,,3,Oui,,16 m²,,,,,,,,,Mazout,18 m²,,,,5136 m²,,,,,,,,,,,,,,,,,,,,,361 kWh/m²,,
69,,,,,,,,,Après la signature de l’acte,1,,Oui,,,,,,Oui,Équipée,,,,1,,,,,,,,1,Oui,682 m²,507 kWh/m²,F,,,,,,,Non communiqué,Non communiqué,380.000 €,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,(àpd 13/10 au 17/11 incl.) : mercr. et sam. de 14-16h. MASQUE OBLIGATOIRE.,,,,,,,,,,,,,,,,Non,,20210810-0002450040-RES-1,1.743 €,,,,,,,,,,,,,,,,,
70,Selon le locataire,,1961,Bon,2,Urbain,200 m²,25 m²,,Équipée,10 m²,2,16 m²,14 m²,,,,2,2,,,,343 m²,,Oui,,,,,Oui,219 kWh/m²,C,20210828_0002457343-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",589.000 €,2.164 €,Oui,"Mussebeeklaan 27
1701 - Dilbeek",4497417,6.5 m,,,,,,,,,Connecté,,Oui,Non,Oui,1,Oui,,,,Oui,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,1972,À rénover,4,,120 m²,8,,,,15 m²,16 m²,18 m²,16 m²,15 m²,5,8,25 m²,,,,Connecté,,40 m²,,,Oui,,Oui,D,20190927-0002200099-RES,83 kg CO₂/m²,Non communiqué,Gaz,1180 m²,,,,,Non,,"Avenue Louise 200
1050 - Bruxelles",4396147,,,4,,,,Oui,,,,Oui,,,,,2,3542 m²,,,,,,,,,Oui,Oui,,Oui,,,,,,,,,,Oui,Oui,,,352 kWh/m²,,,962 m²,,,,,,,,,,,,,,,,,,1.950.000 €,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4,,,,,,,,,,,408 kWh/m²,,,,,,,,,,,E,,,,,,,,20210216-0002374591-RES-1,Non communiqué,Non communiqué,RUP Halle-Bruxelles-Halle zone d’hab.,320.000 €,,,,,,,"Lloyd Georgelaan, 11
1000 - BRUSSEL/BRUXELLES",Pol VAN de VANNET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211 m²,,Non,,Non,(àpd 21/8 au 29/9 incl.) : sam. de 10-12h et mercr. de 14-16h.,Après la signature de l’acte,,,,,,,,,,,,,1.891 €,
74,1,,,,,,,,,,,359 kWh/m²,,,,,,,,,,,D,,,,,,,,20210701-0002436146-RES-1,Non communiqué,Non communiqué,425.000 €,1.777 €,,,,,,,"Koningin Astridlaan, 4
1950 - Kraainem",Laura NULENS,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623 m²,,Non,,Non,"(àpd mercr. 29/9 au mercr. 27/10 inclus) : mercr. de 15-17h, lundi de 17-19h et dim. de 15-17h, sans rdv. Masque obligatoire.",Après la signature de l’acte,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,Après la signature de l’acte,BARON D'HUART,1973,4,1,"Zone d'habitat (résidentiel, urbain ou rural)",,,279 m²,60 m²,20 m²,4,19 m²,16 m²,,16 m²,14 m²,,,Oui,Oui,,,,900 m²,,,,Oui,Sud-ouest,429 kWh/m²,E,Non communiqué,Non communiqué,,,,,Non,Gaz,795.000 €,4.072 €,Non,,,,,,3,,,,,Non communiqué,,,,À rénover,,,,Non,,,,,,,,,2,,,,,,,,,"Clos des Essarts 6
1150 - Bruxelles",14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,Après la signature de l’acte,1980,3,1,15 m²,5,25 m²,14 m²,17 m²,,,2,Non,250 m²,Oui,Non,,,,50 m²,Non,Non,Non,Non,220 kWh/m²,C,Non,,,,Non,Non,Oui,,,,,,15 m²,,11 m²,Non,Non,Oui,,,,,,,,,,,,Non,Non communiqué,Non,,Non,Non,Non,,,,Non,Non,20210618-0002431145-RES-1,Non communiqué,Gaz,,,,Non,Non,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,
78,Après la signature de l’acte,Agency Surrounding,1930,Bon,3,Isolé,27 m²,Hyper équipée,,10 m²,2,17 m²,11 m²,1,,,,1,11 m²,,,110 m²,Oui,,21 m²,10 m²,,470 kWh/m²,,,E,1690650,Non communiqué,Non communiqué,Gaz,Oui,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,1.051 €,Non,"Parvis Sainte-Alix 37
1150 - Woluwe-Saint-Pierre",4396897,,4 m,1,,,,Oui,,,,,,Non,,Zone non inondable,,Non,,,,,,,,,,,,Oui,,,,,,,,,,Oui,,,,,,,110 m²,,,,,,,,,,,,,,,,,,,,
79,Après la signature de l’acte,,1960,Fraîchement rénové,3,Isolé,30 m²,Hyper équipée,,6 m²,3,15 m²,13 m²,9 m²,1,,,1,7 m²,,,186 m²,Connecté,,100 m²,15 m²,,Non,,,E,20181116-0002108484-1,Non communiqué,Non communiqué,Gaz,Oui,186 m²,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",469.000 €,1.063 €,Non,"Avenue Louise 433
1050 - Bruxelles",4500139,,,1,,,1,Oui,,,,Oui,,,,Non,1,,,,,,,,Oui,,Non,Non,,Oui,,,,,,,,,,Non,,,,430 kWh/m²,,,90 m²,,,,,,,,,,,,,,,,,,Non,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Après la signature de l’acte,Agency Surrounding,,Bon,4,Pays,26 m²,Équipée,,8 m²,5,18 m²,16 m²,16 m²,10 m²,10 m²,1,1,10 m²,,,1665 m²,6.6 m,,983 m²,Non,,,,,E,2451236,Non communiqué,Non communiqué,Mazout,Oui,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",795.000 €,2.352 €,Non,"Parvis Sainte-Alix 37
1150 - Woluwe-Saint-Pierre",4513210,,,2,,,2,Non,,,,,,Zone inondable potentielle,,,1,,,,,,,,Non,,Oui,,,Oui,,,,,,,,,,,,,,497 kWh/m²,,,253 m²,Non,,,,,,,,,,,,,,,,,,,
