,À partir de,Année de construction,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Meublé,Surface du terrain,Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Niveau E (performance énergétique globale),Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,État du bâtiment,Salon,Salle à manger,Dressing,Buanderie,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Surface du jardin,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de construction,Revenu cadastral,Largeur de la façade à rue,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Largeur du terrain à rue,Type de chauffage,Cave,Visite virtuelle,Raccordement à l'égout,Surface constructible totale au sol,Obligation de construire,Surface de la terrasse,Salles de douche,Type d’environnement,Grenier,Terrasse,Attestation de conformité des citernes à mazout,Orientation de la terrasse,Surface de bureau,Disponible le,Surface du grenier,Référence externe,Surface de la chambre 4,Isolé,Surface de la cave,Surface de l'espace professionnel,Nombre d'annexes,Surface de la chambre 5,Quartier ou lieu-dit,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nom de l'agent,Combien de feux ouverts ?,Revenu mensuel actuel,Pourcentage loué,Nom du bien
104,,,,,,503 m²,,4,3,,Non,7124 m²,,,147 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,1.695.000 €,Non,"Heidestatiestraat 2
2920 - Kalmthout-Heide",9499 - 3719542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Après la signature de l’acte,,3,,,,Équipée,2,1,,Non,350 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Zone non inondable,,280.000 €,Non,,,Bon,,,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,250 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Toutes sortes,440 €,6 m,,,,,,,Gaz,,,,,,,,Urbain,,,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,
106,Après la signature de l’acte,2018,4,10,,1200 m²,,10,10,,,6400 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,5.100.000 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4419229,Excellent état,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
107,À définir,,2,,,240 m²,,3,1,2,Non,130 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,,Zone non inondable,,395.000 €,Oui,,,Bon,Oui,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Toutes sortes,1.000 €,8 m,,,,,,,Gaz,Oui,,Connecté,,,20 m²,1,Centre commercial,Oui,,,,,,,,,,,,,,,,,,,,,1550,100,
108,Après la signature de l’acte,2004,4,2,,1000 m²,Américaine hyper-équipée,5,4,,,9665 m²,,,174 kWh/m²,B,1890111,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,2.650.000 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4442890,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,Oui,,,29 m,,,,,,,Gaz,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
109,Après la signature de l’acte,1960,4,,,350 m²,Hyper équipée,4,2,,Non,5200 m²,,,353 kWh/m²,D,20210218-0002374797-RES-1,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,1.150.000 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4420210,Excellent état,,,,,,,,,,,,Oui,,,Non,,Oui,Oui,,Oui,,,Oui,,,,,,Oui,,4.083 €,,,,,,,,Gaz,,,Connecté,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,,,,,,,,,
110,Après la signature de l’acte,1920,4,1,4,550 m²,Hyper équipée,5,4,,,19000 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,Non,Zone non inondable,Parc résidentiel,2.550.000 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4427783,À rénover,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,24 m,,,,,,70 m,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,
111,,,3,1,1,162 m²,Équipée,3,1,2,Non,372 m²,,Sud-est,228 kWh/m²,C,20141014-0001680447-00000013-1,Non communiqué,Non communiqué,,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",390.000 €,Non,"Duboisstraat 39
2060 - Antwerpen",WV12,Bon,,,,,Non,,Non,,,,,Non,214 m²,,,,,,,,,,,,,,,,Oui,,1.266 €,6 m,33 m²,10 m²,8 m²,16 m²,19 m²,9 m,,,,Non connecté,54 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Immédiatement,1998,2,1,,,,3,2,3,,,,,250 kWh/m²,C,20181015-0002099250-2,Non communiqué,Non communiqué,,,,Non,Non,,Zone non inondable,,295.000 €,Non,"Hoogeind, 33
2940 - Stabroek",,À rafraîchir,Oui,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,1.425 €,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,Els DE LANGH,,,,
113,Après la signature de l’acte,2001,4,1,,336 m²,Hyper équipée,4,2,,Non,2401 m²,,,181 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,,Parc résidentiel,759.000 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4535312,Excellent état,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,,,,,,,30 m,Gaz,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
114,Après la signature de l’acte,,4,,,496 m²,Américaine hyper-équipée,4,2,,Non,5336 m²,,,426 kWh/m²,E,2435269,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,1.295.000 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4437575,,,,,,Oui,,,,,,,Oui,,,,,,Oui,,Oui,,,Oui,,,,,,Oui,,,27 m,,,,,,53 m,,Oui,,Connecté,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,3,,,,,Oui,Sud-est,474 kWh/m²,E,20210802-0002447405-RES-1,Non communiqué,Non communiqué,,,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",455.000 €,Non,"Antwerpsesteenweg 219
2950 - Kapellen",,,,,Non,,Non,,,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,Connecté,,Non,,,,,,,,,,,Kapellen - Heiakker,,,,,,,,,,,,,,,,
116,À la livraison,1991,4,2,5,212 m²,Équipée,3,1,2,Non,1207 m²,,Nord-ouest,386 kWh/m²,D,20210413-0002400861-RES-1,Non communiqué,Non communiqué,Non,,Oui,Oui,Non,Non,Zone non inondable,Parc résidentiel,649.000 €,Non,"Bredabaan 260
2930 - Brasschaat",39063 - MAL-21-GKE-0,Excellent état,,Oui,,,Oui,,,,,,,Oui,1014 m²,,,,,Oui,,,,,Oui,,,,,,Oui,,1.496 €,14 m,38 m²,14 m²,26 m²,23 m²,16 m²,25 m,Électrique,Oui,,,,,45 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,2 m²,,,,,,,,,,,,,,,,1,,,
117,À définir,,,,,240 m²,Équipée,3,,2,Non,1040 m²,,Sud-est,552 kWh/m²,F,2443699,Non communiqué,Non communiqué,Non,,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,Non,"Orteliuskaai, 8
2000 - Antwerpen",,Bon,,,Non,,,,,,,,,Oui,500 m²,,,,,,,,,,,,Non,,,,,,1.410 €,,50 m²,21 m²,22 m²,9 m²,9 m²,,Gaz,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Après la signature de l’acte,1976,4,2,,330 m²,Équipée,5,1,3,Non,3600 m²,,,1034 kWh/m²,F,20210915-0002464575-RES-1,Non communiqué,Non communiqué,Non,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",735.000 €,Non,"Hagedoornlaan 1
2970 - Schilde",284 - 1481,Bon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,1.484 €,,,,,,,,Mazout,Oui,,,,,20 m²,1,,,,,,,,,,,,,,,,,,,,,,,,,
119,Après la signature de l’acte,1935,4,3,,770 m²,,12,2,,Non,21150 m²,Oui,Sud-ouest,312 kWh/m²,D,0001765469,Non communiqué,Non communiqué,Non,,,Non,Non,Non,Zone non inondable,Zone de parc,1.195.000 €,Non,"Bredabaan 260
2930 - Brasschaat",36857 - MAL-21-SVR-0,,,,,,Oui,,,,,,,Oui,,,,,,Oui,,,,,,,,,,,,,4.082 €,16 m,,,,,,112 m,Mazout,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,1,,,
120,Après la signature de l’acte,1971,4,,,200 m²,,4,1,2,Non,880 m²,,Sud-ouest,296 kWh/m²,C,20210913-0002462558-RES-1,Non communiqué,Non communiqué,,,,Non,,Non,Zone non inondable,,518.000 €,Non,,,Excellent état,,,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,400 m²,,,,,,,,,,,,Non,Non,Non,Non,Oui,Toutes sortes,1.264 €,14 m,,,,,,,Gaz,,,Connecté,,Non,32 m²,1,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,"Frankrijlei 156/158
2000 - Antwerpen",D2000-21073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,À définir,,,,,Équipée,3,Non,,Non,Connecté,,,,D,20190719-0002179231-RES-1,Non communiqué,Non communiqué,Non,,,,,,,,349.000 €,508 €,"Leopoldstraat 37
2800 - Mechelen",,,Bon,,,1,,,,,,,,,346 kWh/m²,,,,,,,,,,,,,Zone de loisirs,,,,,,Non,,,,,,,,,,120 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,2009,4,2,2,46 m²,4,18 m²,2,1749 m²,,Connecté,,,B,0002459587,Non communiqué,Non communiqué,Gaz,,,,,,,Parc résidentiel,620.000 €,Non,"Nerviërslei 6
2900 - Schoten",4512123,,Excellent état,,,,,,,,,,,,Oui,,,,,,Oui,,Oui,,,149 kWh/m²,,,,Oui,,Zone non inondable,,,,Hyper équipée,,11 m²,11 m²,12 m²,,Oui,,255 m²,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,1,,,,,,,,,,,,,,,
124,,1890,4,,,120 m²,,,,,Non,1470 m²,,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,396.900 €,Non,,,À rénover,,,Non,,Non,Non,Non,Non,Non,Non,Non,Non,1350 m²,,,,,,,,,,,,Non,Non,Non,Non,Non,Toutes sortes,317 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,99 m²,,,,,Équipée,1,149 m²,626 kWh/m²,,,F,,,20131106-0001477116-00000001-4,Non communiqué,Non communiqué,Non,Non,,,,Zone non inondable,160.000 €,,256 €,,,Marijke VERBEECK,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fabrieksstraat 17
2830 - WILLEBROEK",,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
elke zat. van 14u-16u vanaf zat. 25/09",Après la signature de l’acte,Non,,,,,
126,4,,1,Oui,,,Oui,2,Oui,,,A,,,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,,500.000 €,,,,1.898 €,,,Charlotte WOUTERS,,,,4,,Oui,,2158 m²,,,,,,,,,,,,,,,,,,,,,,,,,,"Jules Moretuslei, 342
2610 - Wilrijk",,,,,,,,,,Équipée,,,,,,,64 kWh/m²,,,,,,,,,,,,,,,Non,"nl :
Op woe. van 17u-18u & op zat. van 10u-11u, vanaf 1/9 tem 25/9",Après la signature de l’acte,Non,,,,,
127,,4,,,,,,1,17023 m²,,,1201 kWh/m²,,,F,20210908-0002461773-RES-2,Non communiqué,Non communiqué,Oui,,,Non,Non,Zone non inondable,,300.000 €,,,"Gemeentepark, 17
2990 - WUUSTWEZEL",Sanne NUYTEMANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,1948,,,,,,,,,,Non,"nl :
zat. 23/10 - 30/10 - 06/11 - 13/11 - 20/11 van 10u-15u",1 janvier 2022 - 00:00,1.279 €,,,,,
128,,,3,,,80 m²,,,,,Non,643 m²,,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,256.000 €,Non,,,,,,Non,,Non,Non,Non,Oui,Non,Non,Non,Non,580 m²,,,,,,,,,,,,Non,Non,Non,Non,Non,Toutes sortes,213 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1972,4,1,3,,,,1,1113 m²,,,747 kWh/m²,,,F,20201127-0002344646-RES-1,Non communiqué,Non communiqué,Oui,,,Oui,Zone non inondable,,,200.000 €,,,"Gasthuisstraat, 27
2960 - BRECHT",Marnix DE SADELEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
elke zat. tssn 14u-16u - vanaf zat. 9/10 tem zat. 13/11",Immédiatement,1.073 €,,,,,
130,1970,4,1,2,,,,1,1080 m²,,,422 kWh/m²,,,E,20201127-0002344639-RES-1,Non communiqué,Non communiqué,Oui,,,Oui,Non,Zone non inondable,,200.000 €,,,"Gasthuisstraat, 27
2960 - BRECHT",Marnix DE SADELEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
elke zat. van 14u-16u, vanaf zat. 9/10 tem zat. 13/11",Immédiatement,1.013 €,,,,,
131,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-20061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Après la signature de l’acte,1978,2,1,2,140 m²,Équipée,3,1,2,Non,201 m²,,Sud-ouest,273 kWh/m²,C,20211005-0002472749-RES-1,Non communiqué,Non communiqué,Non,,Oui,Non,Non,,Zone non inondable,,320.000 €,Non,"Bredabaan 260
2930 - Brasschaat",40661 - BRA-21-GKE-0,À rafraîchir,,,,,,,,,,,,,55 m²,,,,,,,,,,,,,,,,Oui,,808 €,6 m,41 m²,,,,,6 m,Gaz,Oui,,,,,30 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Après la signature de l’acte,1992,4,,,160 m²,Équipée,5,1,2,Non,955 m²,,Nord-est,211 kWh/m²,C,Certificaat-20210917-0002465351-RES-1.pdf,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,,499.000 €,Non,"Bredabaan 260
2930 - Brasschaat",35323 - BRA-21-GKE-0,Bon,,,,,,,,,,,,Oui,761 m²,,,,,,,,,,Oui,,,,,,,,948 €,11 m,34 m²,,,,,16.5 m,Gaz,Oui,,,,,28 m²,,,,,,,,,,,,,,,,,,,,,,,1,,,
134,,1993,4,,5,249 m²,Équipée,4,1,1,Non,,,,335 kWh/m²,D,20210506-0002411939-RES-2,Non communiqué,Non communiqué,,,Oui,Oui,Non,Non,Zone non inondable,Zone d'intérêt paysager,824.000 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21033,Bon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.517 €,,,,,,,,Mazout,,,,,,,,Urbain,,Oui,,,,,,,,,,,,,,,,,,,,,,
135,,2021,3,,1,140 m²,Équipée,2,1,1,Non,3974 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-20061-2.5,Excellent état,,,,,,,,,,,,,57 m²,,Oui,Oui,,,,,,,Non,,,,,,,,,,,,,,,,Électrique,,,,,,8 m²,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,
136,,2021,3,,2,155 m²,Équipée,3,1,1,Non,3974 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",469.000 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-20061-2.3,Excellent état,,,,,,,,,,,,,63 m²,,Oui,Oui,,,,,,,Non,,,,,,,,,,,,,,,,Électrique,,,,,,8 m²,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,
137,,2021,3,,2,140 m²,Équipée,2,1,1,Non,3974 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",489.000 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-20061-2.6,Excellent état,,,,,,,,,,,,,122 m²,,Oui,Oui,,,,,,,Non,,,,,,,,,,,,,,,,Électrique,,,,,,8 m²,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,
138,,2021,3,,2,183 m²,Équipée,3,1,1,Non,3974 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",496.000 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-20061-2.1,Excellent état,,,,,,,,,,,,,42 m²,,Oui,Oui,,,,,,,Non,,,,,,,,,,,,,,,,Électrique,,,,,,8 m²,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,
139,Après la signature de l’acte,1960,4,2,2,162 m²,Semi-équipée,4,2,2,Non,364 m²,Oui,Sud,598 kWh/m²,F,Certificaat-20210628-0002434823-RES-1.pdf,Non communiqué,Non communiqué,Non,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,Non,"Bredabaan 260
2930 - Brasschaat",38405 - BRA-21-GKE-0,À rafraîchir,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,12 m²,18 m²,10 m²,10 m²,12 m,Gaz,Oui,,,,,18 m²,,,,,,,,,,,,,,,,,,,,,,,1,,,
140,Après la signature de l’acte,1993,4,,,150 m²,Équipée,2,1,2,Non,1373 m²,,Sud-est,601 kWh/m²,F,20210902-0002459302-RES-1,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,,349.000 €,Non,"Bredabaan 260
2930 - Brasschaat",33920 - BRA-21-GKE-0,Bon,,Oui,,,,,,,,,,Oui,1278 m²,,,,,,,,,,,,,,,,Oui,,,,24 m²,9 m²,19 m²,19 m²,,20 m,Électrique,Oui,,,,,25 m²,,,,,,,,,,,,,,,,,,,,,,,1,,,
141,,1993,4,,,255 m²,Équipée,2,2,1,Non,16340 m²,,,181 kWh/m²,B,20210506-0002412225-RES-1,Non communiqué,Non communiqué,,,Oui,Oui,Non,Non,Zone non inondable,Zone d'intérêt paysager,849.000 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21034,Bon,,,,,,,,,,,,,,,Non,Oui,,,,,,,Non,,,,,,,,2.860 €,,,,,,,,Mazout,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,
142,Après la signature de l’acte,1958,2,,,150 m²,Hyper équipée,3,1,2,Non,226 m²,,Sud,172 kWh/m²,B,20210922-0002467319-RES-1,Non communiqué,Non communiqué,,,Oui,Oui,,,Zone non inondable,,390.000 €,Non,,,Excellent état,,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,52 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Toutes sortes,,6 m,30 m²,9 m²,18 m²,14 m²,12 m²,,Gaz,,,Connecté,,,,,,,,,,,,45 m²,,,Oui,,,,,,,,,,,,,,
143,Après la signature de l’acte,2008,4,,,300 m²,Hyper équipée,3,1,2,Non,1150 m²,,,196 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,,,,,679.000 €,Non,,,Excellent état,,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,1150 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Toutes sortes,,,20 m²,26 m²,34 m²,19 m²,14 m²,,Gaz,,,Connecté,,,40 m²,,,,,,,,,,,,,,,,,,,,,,,2,,,
144,Après la signature de l’acte,,2,,1,130 m²,,2,1,2,Non,245 m²,,,289 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,365.000 €,Non,,,,,,Non,,Non,Non,Non,Oui,Non,Non,Non,Oui,1 m²,,,,,,,,,,,,Non,Non,Non,Non,Non,Toutes sortes,589 €,,,,,,,,Gaz,Oui,,Connecté,,,,1,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,,,,,,,Oui,,,1,,,,,,,,,,,
145,,1988,4,,,114 m²,Équipée,1,1,2,Non,651 m²,,,1076 kWh/m²,F,20150706-0001775500-1,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21065,Bon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Électrique,,,,,,,,Urbain,,Oui,,,,,,,,,,,,,,,,,,,,,,
146,À définir,1996,4,,,,,5,1,2,Non,660 m²,,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,,,,489.000 €,Non,,,Excellent état,,,Non,,Non,Non,Non,Non,Non,Non,Non,Non,120 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Toutes sortes,,7 m,,,,,,10 m,Gaz,,,,,,,1,,Oui,Oui,,,,,,,,Oui,,,,,,,,,,,,,,
147,,1988,,3,,230 m²,Semi-équipée,5,2,2,Non,900 m²,Oui,Sud-ouest,182 kWh/m²,B,20210917-0002465574-RES-1,Non communiqué,Non communiqué,,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",485.000 €,Non,"Boterlaanbaan 323
2100 - Deurne",Villa Brecht Cambeen,,,,Non,,Non,,,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,Oui,Toutes sortes,,20 m,,11 m²,14 m²,15 m²,8 m²,24 m,Gaz,,,Connecté,231 m²,Non,,,Pays,,,,,,,7 m²,,20 m²,,,,,14 m²,,,,,,,,,,
148,,1995,,1,,91 m²,25 m²,24 m²,2,Non,2100 m²,Non,,65 m²,B,20210908-0002461309-RES-1,Non communiqué,Non communiqué,Oui,,,Toutes sortes,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",799.000 €,2.649 €,"Bergelen 56
8560 - Gullegem",Sint-Job-in-'t-Goor,,Excellent état,,Équipée,2,,40 m²,,,Non,Non,Oui,35 m,2100 m²,Sud-ouest,Non,Non,Non,Oui,Non,,Oui,,,165 kWh/m²,,,,,,Oui,Non,Non,,Oui,4,26 m²,18 m²,18 m²,Non connecté,,,380 m²,Non,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,,Oui,,,,,,,,,,,,,,,Lichtrijke villa te Sint-Job-in-'t-Goor (Vlakbij S
149,Après la signature de l’acte,,2,,,125 m²,Semi-équipée,2,1,1,,201 m²,,,218 kWh/m²,C,1969341,Non communiqué,Non communiqué,,,,,,,,,249.000 €,Non,"Gasthuisstraat 21
2340 - Beerse",4404113,À rafraîchir,,Oui,,,,,,,,,,Oui,95 m²,,,,,,,,,,,,,,,,Oui,,,6.5 m,18 m²,20 m²,18 m²,16 m²,,,,,,Connecté,,,,,,,,,,,,18 m²,,,,,,,,,,,,,,,,,
150,À définir,2007,4,,,,Équipée,,,,Non,900 m²,,Sud-ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Zone non inondable,,490.000 €,Non,,,Excellent état,,,Non,,Non,Non,Non,Non,Non,Non,Non,Non,1 m²,,,,,,,,,,,,Non,Non,Oui,Non,Oui,Toutes sortes,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
