,À partir de,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Salon,Type de cuisine,Surface de la cuisine,Chambres,Salles de bains,Salles de douche,Toilettes,Cave,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Parkings intérieurs,Visite virtuelle,Surface du salon,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Meublé,Surface du jardin,Orientation du jardin,Terrasse,Pompe à chaleur,Surface de la terrasse,Attestation as-built,Autorisation de lotissement,Site internet,Largeur de la façade à rue,Surface de la chambre 4,Niveau E (performance énergétique globale),Grenier,Jardin,Orientation de la terrasse,Quartier ou lieu-dit,Parkings extérieurs,Type d’environnement,Salle à manger,Surface de la chambre 5,Panneaux solaires,Buanderie,Bureau,Surface de la cave,Surface du grenier,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Attestation de conformité des citernes à mazout,Obligation de construire,Combien de feux ouverts ?,Surface de bureau,Surface de l'espace professionnel,Espace professionnel,Nombre d'annexes,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Jacuzzi,Sauna,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Surface constructible totale au sol,Disponible le,Nom du bien,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Type de construction,Pourcentage loué,Isolé
34,Après la signature de l’acte,,,2,147 m²,,Semi-équipée,14 m²,3,2,,3,,99 m²,,,,308 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",397.000 €,924 €,Non,"Jan Stasstraat 3
3000 - Leuven",,,,27 m²,16 m²,12 m²,28 m²,Non,Non,,Nord-ouest,,Non,,Non,Non,kardinaalstr43,,,,,Oui,,,,Urbain,,,,Oui,Non,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Après la signature de l’acte,,À rénover,2,125 m²,,,6 m²,4,1,,,,200 m²,,Connecté,Oui,Non communiqué,Non communiqué,20210503-0002410152-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",310.000 €,646 €,Non,"Tervuursevest 356
3000 - Leuven",,,,12 m²,,,,,Non,,,,Non,,,Non,,,,,,,,,,,Oui,,Non,,,20 m²,,,,,,,,,,,,,,,,Non,,,,,,,,,Non,Non,,,,,,,,,,
36,1963,À rafraîchir,3,2,,4,1,,Oui,Oui,,,1978 m²,F,,,,20210323-0002391433-RES-1,Non communiqué,Non communiqué,Oui,Non,,Non,,336.000 €,,1.725 €,,,"Stationsstraat 30
3360 - Bierbeek",Anne-Sophie DE DONDER,,,Oui,Équipée,,,,,,,,,,,,,Zone non inondable,,,,,529 kWh/m²,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
elke zat. van 14u-17u, vanaf zat. 11/9 tem zat. 9/10",Après la signature de l’acte,Non,,,
37,À la livraison,,Excellent état,2,147 m²,,Américaine hyper-équipée,,4,2,,2,,,,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",579.100 €,,Non,"Kardinaal Mercierlaan 81
3001 - Leuven",,,,,,,,,,,,,,25 m²,,Oui,4398868,,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,2,128 m²,,Équipée,,3,2,,2,Oui,,,,Oui,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",535.900 €,,Oui,"Mechelsesteenweg 382
3020 - Herent",,1,,44 m²,,,,,Non,,,,,20 m²,Non,Oui,1994748 - 2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downhill,,,,,,,
39,,,,2,144 m²,,Équipée,,3,2,,2,,,,,Oui,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",569.600 €,,Oui,"Mechelsesteenweg 382
3020 - Herent",,1,,47 m²,,,,,Non,,,,,34 m²,Non,Non,1994841 - 2239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downhill,,,,,,,
40,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,Zone non inondable,,,,Non,"A. Stocletlaan 195
2570 - Duffel",,,,,,,,,,,,,,,,,Leuven,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Après la signature de l’acte,,Fraîchement rénové,2,,Oui,Équipée,,2,1,,3,Oui,151 m²,5 m,Connecté,Oui,Non communiqué,Non communiqué,20210927-0002466447-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,Zone non inondable,,449.000 €,,Non,,,,,,,,,Non,Non,65 m²,Sud-ouest,,Non,,,,,5 m,,,,,,,1,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,Non,Oui,Oui,,,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,,,,,,,,Toutes sortes,,
42,À la livraison,,Excellent état,2,142 m²,,,,3,2,,,,,,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",571.900 €,,Non,"Kardinaal Mercierlaan 81
3001 - Leuven",,,,,,,,,Non,,,,,12 m²,,Oui,4430508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,Excellent état,2,150 m²,,Équipée,15 m²,4,2,,3,,,,Connecté,Oui,222 kWh/m²,C,20210810-0002448990-RES-1,Non communiqué,Non communiqué,,Oui,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",685.000 €,,Non,"Bondgenotenlaan 33
3000 - Leuven",1762/TK/08/2021,,,25 m²,16 m²,16 m²,16 m²,,Non,,,,,20 m²,,Non,,,4 m²,,,,Nord-ouest,,,Urbain,,,,,Oui,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
44,Après la signature de l’acte,,Bon,2,120 m²,,Américaine semi-équipée,10 m²,2,1,,1,Oui,59 m²,,Connecté,Oui,421 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",348.000 €,,Non,"Dirk Boutslaan 4
3000 - Leuven",,,,25 m²,16 m²,25 m²,,,,,,Oui,,,,Non,4534962,,,,,,,Regio Leuven,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,À la livraison,,Excellent état,2,144 m²,,,,3,2,,,,,,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",569.600 €,,Non,"Kardinaal Mercierlaan 81
3001 - Leuven",,,,,,,,,Non,,,,,12 m²,,Oui,4430507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,Bon,,,,,,,,,,,287 m²,,Connecté,Oui,Non communiqué,Non communiqué,20210713-0002440759-KNR-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",2.600.000 €,,Oui,"Bondgenotenlaan 33
3000 - Leuven",1770/TK/08/2021,,,,,,,,,,,,,,,Non,,,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4,,,,,,,,C,,,,,,,,,20210826-0002456356-RES-1,Non communiqué,Non communiqué,Non,Non,,,,199.000 €,,664 €,,,"L.E. van Arenbergplein, 8
3001 - Heverlee",Baudouin Benoit BLEECKX,,,,260 kWh/m²,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
Bezoeken vanaf zaterdag 9 oktober 2021 tot en met zaterdag 13 november 2021. ZONDER AFSPRAAK - op woensdagen van 14u tot 16u en op zaterdagen van 10u tot 12u",Immédiatement,Non,,,
48,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,1.975.000 €,16.615 €,,,,,,,,,"Leopold Ruelensstraat, 54
3010 - Kessel-Lo",Veronique KNAPEN,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
elke zaterdag EN woensdag, van 14 uur tot 16 uur, vanaf woensdag 6 oktober 2021/zaterdag 9 oktober 2021 tot en met zaterdag 13 november 2021/woensdag 17 november 2021 OF op afspraak na contact via: harry.romain@telenet.be",Non communiqué,Oui,,,
49,,1962,Bon,2,144 m²,,Équipée,,3,1,,2,Oui,292 m²,,Connecté,Oui,261 kWh/m²,C,20140506-0001587149-00000001-3,Non communiqué,Non communiqué,Gaz,Oui,,,,,,445.000 €,798 €,Non,,,,,27 m²,16 m²,16 m²,24 m²,Non,Non,200 m²,Nord-est,,Non,9 m²,,,,4 m,,,,,Nord-est,,,Urbain,,,Non,,Non,,,,,,,,,,,,,,,Non,,Non,Non,Non,Oui,Non,,,,,Non,Non,,,,,,,,,,
50,Après la signature de l’acte,1949,Bon,2,404 m²,,Équipée,,6,1,1,3,,165 m²,,Connecté,Oui,283 kWh/m²,C,20210827-0002443296-RES-1,Non communiqué,Non communiqué,Mazout,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",975.000 €,2.000 €,Non,,,,,,,,,Non,Non,40 m²,Sud,,Non,,,,,10 m,,,,,,,,,,,Non,,Non,,,Non,Non,Non,Oui,Non,Non,Non,"Oui, conforme",,1,,,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,143 m²,,,,,,,,,
51,Après la signature de l’acte,1995,Bon,3,274 m²,Oui,Équipée,,4,1,1,3,Oui,225 m²,,Connecté,Oui,167 kWh/m²,B,20150615-0001768831-1,9111 kg CO₂/m²,Non communiqué,Gaz,Oui,Oui,,Non,,,580.000 €,1.519 €,Non,,,1,,,,,,Oui,Non,50 m²,Sud-est,,Non,7 m²,,,,,,,,,,,1,Isolé,Oui,,Oui,Oui,Oui,,,,,,,,,,,,,,,Oui,,Non,Non,Non,Non,Non,,,,,Oui,Oui,,,,,,,,Toutes sortes,,
52,À définir,1968,Excellent état,4,230 m²,,Hyper équipée,11 m²,3,1,,2,,650 m²,30 m,Connecté,Oui,179 kWh/m²,B,20210205-0002366009-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,,,675.000 €,,Non,,,,,38 m²,18 m²,16 m²,11 m²,Non,Non,400 m²,Sud-est,,Oui,25 m²,,,,19 m,,,Oui,,Sud-est,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,Non,,Non,30 m²,,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,,,,,,,,Villa,,
53,À définir,,Bon,,125 m²,,Semi-équipée,14 m²,2,,,1,,284 m²,,Connecté,Oui,405 kWh/m²,E,20210430-0002409412-RES-1,Non communiqué,Non communiqué,Gaz,,,,,Zone non inondable,,285.000 €,,Non,"Dr. V. Dewalsplein 23
3070 - Kortenberg",,,,23 m²,10 m²,16 m²,,Non,Non,,,Oui,Non,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Après la signature de l’acte,1950,Bon,,112 m²,,Équipée,,1,1,,2,Oui,,,,,252 kWh/m²,C,2439048-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,,,479.000 €,,Non,"Vanderkelenstraat, 22
3000 - Louvain",,,,,,,,,Non,,,,,,Non,,20426 - 1441491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,À la livraison,2019,Excellent état,2,162 m²,,Équipée,8 m²,4,2,1,2,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",495.000 €,,Non,"Brusselsesteenweg, 15
3080 - Tervuren",,,,31 m²,16 m²,11 m²,7 m²,Non,Non,18 m²,Sud-ouest,,Non,16 m²,,Non,spir352673 WIP W05,,9 m²,,,,,,2,Urbain,,,,,Non,11 m²,,Non,Non,Non,Non,Non,Oui,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,Excellent état,2,,Oui,Équipée,,3,1,,,,89 m²,,,Non,Non communiqué,Non communiqué,Non communiqué,139 kg CO₂/m²,Non communiqué,,Non,Oui,Non,Non,Zone non inondable,,865.000 €,,Oui,,,,,,,,,Non,Non,,,,Non,,,Non,,,,,,,,,,Urbain,,,Non,,Non,,,,,,,,,,,Non,,,,Non,,Non,Non,Non,Non,Non,,,,,Non,Non,,,,,,,,Toutes sortes,,
57,Après la signature de l’acte,1982,Excellent état,4,266 m²,,Équipée,12 m²,3,1,,,,2762 m²,60 m,Connecté,,320 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",640.000 €,1.435 €,,"Bergenstraat 72
3053 - Haasrode",,2,,50 m²,,,,,,2762 m²,Sud-ouest,,,,,Oui,,,,,,,,,8,,,,,Oui,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
58,Selon le locataire,1948,À rafraîchir,2,150 m²,,Semi-équipée,,3,1,1,2,Oui,80 m²,,Connecté,Oui,581 kWh/m²,F,20120629-0001155908-00000005-9,Non communiqué,Non communiqué,Gaz,Oui,,Non,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",423.000 €,840 €,Non,"Brusselsestraat 41
3000 - Leuven",,,,,,,,,Non,,,Oui,,,,Non,4343841,,,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,1947,Bon,2,228 m²,,Équipée,,,,2,2,,55 m²,5.4 m,Connecté,Oui,243 kWh/m²,C,2380903-RES-1,Non communiqué,Non communiqué,,Oui,,Non,Non,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",595.000 €,1.316 €,Non,"Stationstraat 20
3150 - Haacht",,1,,,,,,,Non,,,,,,"Oui, conforme",Non,21/5384,5.4 m,,,,,,,,Urbain,,,,,Oui,26 m²,,,Non,Non,Non,Non,Oui,Non,,,,,,,,Non,,,,,,,,,,,55 m²,,,,,,,,,
60,,1947,Bon,2,228 m²,,Équipée,,,,2,2,,55 m²,5.4 m,Connecté,Oui,243 kWh/m²,C,2380903-RES-1,Non communiqué,Non communiqué,,Oui,,Non,Non,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",595.000 €,1.316 €,Non,"Stationstraat 20
3150 - Haacht",,1,,,,,,,Non,,,,,,"Oui, conforme",Non,21/5384,5.4 m,,,,,,,,Urbain,,,,,Oui,26 m²,,,Non,Non,Non,Non,Oui,Non,,,,,,,,Non,,,,,,,,,,,55 m²,,,,,,,,,
61,À définir,1950,À rénover,2,120 m²,,Pas équipée,17 m²,2,1,1,1,Oui,81 m²,4.8 m,Connecté,Non,408 kWh/m²,E,20210707-0002439084-RES-1,Non communiqué,Non communiqué,Mazout,,,Non,Non,Zone non inondable,,430.000 €,800 €,Non,"Brusselsestraat 41
3000 - Leuven",,,,33 m²,15 m²,15 m²,,,Non,,,,,,,Non,4412089,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 m²,,,,,,,,,
62,,1931,Excellent état,2,114 m²,Oui,Équipée,,2,1,,1,,45 m²,,,,375 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",485.000 €,552 €,Non,"Tervuursesteenweg 353
3001 - Heverlee",,1,,,,,,Non,Non,,,,Non,,,Non,spir3117,,,,,,,,,,,,,,Non,,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
63,À la livraison,2019,Excellent état,2,162 m²,,Pas équipée,8 m²,4,2,,2,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",580.000 €,,Non,"Brusselsesteenweg, 15
3080 - Tervuren",,,,31 m²,11 m²,16 m²,7 m²,Non,Non,,,,Non,16 m²,,Non,spir352672 WIP-W07,,9 m²,,,,,,2,Urbain,,,,,Non,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
64,À la livraison,2019,Excellent état,2,168 m²,,Pas équipée,8 m²,4,2,,2,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",609.000 €,,Non,"Brusselsesteenweg, 15
3080 - Tervuren",,,,31 m²,11 m²,16 m²,7 m²,Non,Non,,,,Non,16 m²,,Non,spir352681 WIP - W13,,9 m²,,,,,,2,Urbain,,,,,Non,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
65,À la livraison,2019,Excellent état,2,171 m²,,Pas équipée,8 m²,5,2,,2,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",735.000 €,,Non,"Brusselsesteenweg, 15
3080 - Tervuren",,,,30 m²,13 m²,10 m²,10 m²,Non,Non,,,,Non,15 m²,,Non,spir352678 WIP-W15,,9 m²,,,,,,2,Urbain,,7 m²,,,Non,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,2,216 m²,,,,4,1,,1,,117 m²,,,Oui,427 kWh/m²,E,20201111-0002334930-Res-1,Non communiqué,Non communiqué,Gaz,Non,,,,,,319.000 €,634 €,Non,,,,,,,,,Non,Non,56 m²,Sud-ouest,,Non,12 m²,,,,5 m,,,,,Sud-ouest,,,,,,Non,,Non,,,,,,,,,,,,,,,Non,,Non,Oui,Non,Non,Non,,,,,Non,Non,,,,,,,,Toutes sortes,,
67,Après la signature de l’acte,1900,,2,107 m²,,Semi-équipée,13 m²,4,2,1,1,,50 m²,,,Oui,257 kWh/m²,C,20210323-0002386326-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",290.000 €,369 €,Non,"Dorp 6
1933 - Sterrebeek",,,,13 m²,11 m²,8 m²,11 m²,,Non,,,,,12 m²,,Non,4457020,,8 m²,,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,1979,Excellent état,,130 m²,Oui,,,3,1,,1,,295 m²,,Connecté,Oui,295 kWh/m²,C,20150701--000177353-3--1,Non communiqué,Non communiqué,,Non,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",485.000 €,1.284 €,Non,"Tiensesteenweg 350
3000 - Leuven",,,,,,,,Non,,,Nord-ouest,,,,,Non,Ziekelingenstraat 26,,,,,Oui,,,2,,Oui,,,Oui,Non,,,,,,,,,,,Non,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,
69,Après la signature de l’acte,1970,Fraîchement rénové,2,137 m²,,Hyper équipée,,4,2,,2,Oui,70 m²,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",499.000 €,582 €,Non,"Herbert Hooverplein 14
3000 - Leuven",,,,,,,,,Non,,,,,14 m²,,Non,4530111,4.65 m,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,À définir,,Bon,1,65 m²,,,14 m²,1,1,,1,,37 m²,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Oui,,,,,275.000 €,202 €,Non,,,,,20 m²,20 m²,,,Non,Non,,,,Non,,,,,5 m,,,,,,,,,,,Non,Oui,Non,,,,,,,,,,,,,,,Non,2,Non,Non,Non,Non,Non,,,,,Non,Non,,,,,,,,Toutes sortes,,
71,À la livraison,2019,Excellent état,2,168 m²,,,,4,2,,2,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",585.000 €,,Non,"Brusselsesteenweg, 15
3080 - Tervuren",,,,38 m²,15 m²,14 m²,9 m²,Non,Non,,,,Non,9 m²,,Non,spir352662 WIP-W03,,12 m²,,,,,,2,Urbain,,,,,Non,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,2001,Excellent état,,167 m²,Oui,,,3,1,,,,412 m²,,Connecté,Oui,140 kWh/m²,B,20200627-0002273385-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",475.000 €,1.192 €,Non,"Tiensesteenweg 350
3000 - Leuven",,,,,,,,Non,,,Nord,,,,,Oui,"De Vier Vaantjes 29,",,,,,Oui,,,2,,Oui,,,,Non,,,,,,,,,,,Non,,,,,,,Non,Non,Non,Non,,,,,,,,31 octobre 2022 - 00:00,,,,,,,,
73,,2008,,2,200 m²,Oui,,,2,2,,3,Oui,95 m²,,,Oui,Non communiqué,Non communiqué,200,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,,,895.000 €,,Oui,,,,,,,,,Non,Non,,,,Non,,,,,4 m,,,,,,,,,Oui,,Non,,Non,,,Non,Non,Non,Oui,Non,Oui,Non,,,,,,Non,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,,,,,,,,Toutes sortes,100,
74,,1939,,,255 m²,,,,,,,,Oui,196 m²,8.5 m,Connecté,Non,172 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Non,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.125.000 €,4.070 €,Non,"Diestsesteenweg 427 C
3010 - Kessel-Lo",,,,,,,,,Non,,,,,,,Non,,8.5 m,,,,,,,,Urbain,,,,,Non,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
75,,1939,,2,132 m²,,Équipée,10 m²,3,1,,,Oui,202 m²,5 m,,Non,466 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,Zone non inondable,,395.000 €,,Non,"Gellenberg 2
3210 - Lubbeek",4382098,,,32 m²,18 m²,11 m²,20 m²,,,126 m²,,,,15 m²,,,,5 m,,,,,,Leuven +5km,,Urbain,,,,,,,,,,,,,,,,,,,4 m²,,,,,,,,,,,,,,,,,,,,,,,
76,,1983,,,224 m²,Oui,,,3,4,,4,,155 m²,,Connecté,Non,371 kWh/m²,D,20210701-0002436857-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",650.000 €,1.668 €,Non,"Tiensesteenweg 350
3000 - Leuven",,1,,,,,,Non,,,Nord-ouest,Oui,,,,Non,Maria-Theresiastraat,,,,,Oui,,,,,Oui,,,,Non,,,,,,,,,,,Non,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,
77,Après la signature de l’acte,1912,À rafraîchir,2,253 m²,,Américaine hyper-équipée,,5,2,1,2,Oui,189 m²,5.5 m,Connecté,Oui,243 kWh/m²,C,20210703-0002437346-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",725.000 €,1.162 €,Non,"Tiensesteenweg 93
3010 - Kessel-Lo",4534589,,,,,,,,,,,,,16 m²,,Non,,5.5 m,,,Oui,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Après la signature de l’acte,,,2,300 m²,,Équipée,,6,,,,,202 m²,7 m,,Oui,321 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,,,630.000 €,,,"Frederik Linstraat 132
3000 - Leuven",,,,,,,,,,,,,,,,,Kim van Dobben de Bruijn,,,,,,Est,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,1942,,2,210 m²,Oui,,,2,1,,2,,70 m²,4.5 m,Connecté,Oui,298 kWh/m²,C,20191029-0002212770-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,1.266 €,Non,"Tiensesteenweg 93
3010 - Kessel-Lo",4411440,,,,,,,,,,,,,,,Non,,4.5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 janvier 1900 - 00:00,,,,,,,,
80,Après la signature de l’acte,1918,À rafraîchir,2,122 m²,,,,7,7,,,,95 m²,,Connecté,Oui,306 kWh/m²,D,1955961,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",695.000 €,2.310 €,Oui,"Herbert Hooverplein 14
3000 - Leuven",,,,,,,,,Oui,,,Oui,,,,Non,4405414,,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Après la signature de l’acte,1982,Excellent état,4,570 m²,Oui,Hyper équipée,,8,3,1,,Oui,2762 m²,60 m,,,320 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.390.000 €,3.371 €,,"Bergenstraat 72
3053 - Haasrode",,2,,,,,,,,2762 m²,Sud-ouest,,,,,Oui,,,,,Oui,,,,8,,,,,Oui,Oui,,,,,,,,,,,,2,,,Oui,,,,,,,,,,,,,,,,,,,,,,
