,Année de construction,État du bâtiment,Nombre de façades,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,À partir de,Disponible le,Quartier ou lieu-dit,Site internet,Salle à manger,Salles de douche,Cave,Attestation as-built,Type de chauffage,Largeur de la façade à rue,Type d’environnement,Salon,Type de cuisine,Surface de la chambre 4,Dressing,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation du jardin,Orientation de la terrasse,Concierge,Ascenseur,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Parkings intérieurs,Surface de la chambre 5,Buanderie,Surface de bureau,Surface de l'espace professionnel,Jardin,Terrasse,Charges mensuelles,Revenu mensuel actuel,Référence externe,Attestation de conformité des citernes à mazout,Surface de la cave,Description libre du PEB,Combien de feux ouverts ?,Isolé,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface constructible totale au sol,Surface du grenier,Nombre d'annexes,Nom de l'agent,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Mise à prix
27,1900,À rafraîchir,4,2,,130 m²,20 m²,15 m²,3,18 m²,16 m²,16 m²,1,1,Oui,Non,1500 m²,,Connecté,Non,20 m²,,,,494 kWh/m²,F,20210811002349,Non communiqué,Non communiqué,Oui,Zone non inondable,Faire offre à partir de 329.000 €,361 €,Non,"Rue de Nivelles 1
1440 - Braine-le-Château",Après la signature de l’acte,,Brabant Wallon,,Oui,,Oui,,Mazout,8 m,Pays,,,,,Oui,,,,,,,1360 m²,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4447052,,,,,,,,,,,,,,,
28,1991,À rafraîchir,4,2,,170 m²,36 m²,17 m²,4,17 m²,14 m²,14 m²,3,,,,920 m²,,Connecté,Oui,50 m²,,,,194 kWh/m²,C,20170929011946,Non communiqué,Non communiqué,Oui,,380.000 €,1.955 €,Non,"Rue de Nivelles 1
1440 - Braine-le-Château",Après la signature de l’acte,,Brabant Wallon,,,,,,Gaz,12 m,Urbain,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4518780,,,,,,,,,,,,,,,
29,1938,,4,,,125 m²,35 m²,8 m²,2,15 m²,15 m²,,1,2,,Non,176 m²,,Connecté,Non,,,,,719 kWh/m²,G,20210709016328,Non communiqué,Non communiqué,Oui,Zone non inondable,Faire offre à partir de 219.000 €,604 €,Non,"Rue de Nivelles 1
1440 - Braine-le-Château",Après la signature de l’acte,,Brabant Wallon,,Oui,,Oui,,Mazout,7 m,Isolé,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401431,,,,,,,,,,,,,,,
30,1953,,3,1,,200 m²,27 m²,11 m²,5,22 m²,12 m²,13 m²,1,2,Oui,Non,553 m²,,Connecté,Non,,,,,453 kWh/m²,F,20210710006862,Non communiqué,Non communiqué,,Zone non inondable,Faire offre à partir de 249.000 €,1.033 €,Non,"Rue de Nivelles 1
1440 - Braine-le-Château",,,Brabant Wallon,,Oui,,Oui,,Mazout,16 m,Urbain,,,14 m²,,Oui,,,,,,,395 m²,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4402857,,,,,,,,,,,,,,,
31,2015,,3,1,,200 m²,38 m²,6 m²,4,16 m²,18 m²,14 m²,2,3,Oui,,370 m²,,Connecté,Oui,,,Oui,,113 kWh/m²,B,20151207500997,Non communiqué,Non communiqué,Oui,,Faire offre à partir de 389.000 €,1.154 €,Non,"Rue de Nivelles 1
1440 - Braine-le-Château",Après la signature de l’acte,,Brabant Wallon,,,,,,Gaz,7.5 m,Urbain,,,,,Oui,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,1,,,,,,Oui,,,4500417,,,,,,,,,,,,,,,
32,1980,Excellent état,4,4,,335 m²,24 m²,12 m²,3,16 m²,15 m²,12 m²,2,3,Oui,,2676 m²,,,Non,80 m²,,Oui,Oui,277 kWh/m²,D,2021061423228,Non communiqué,Non communiqué,Oui,,Faire offre à partir de 675.000 €,3.081 €,Non,"Rue de Nivelles 1
1440 - Braine-le-Château",Après la signature de l’acte,,,,Oui,,,,Mazout,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,1,,,,,,,,,4534736,"Oui, conforme",,,,,,,,,,,,,,
33,,Bon,2,,,120 m²,,,2,,,,,1,,Non,1 m²,,,Oui,,,,,489 kWh/m²,F,20210823001989,90 kg CO₂/m²,59063 kWh/an,Oui,Zone non inondable,210.000 €,687 €,Non,"Rue des Frères Lefort 12
1480 - Tubize",Après la signature de l’acte,,,2677 - V2118,,1,,Non,Gaz,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Bon,2,,,140 m²,,,2,,,,,2,,Non,709 m²,,,Oui,,,,,451 kWh/m²,F,20210823001510,120 kg CO₂/m²,59562 kWh/an,Oui,,305.000 €,905 €,Non,"Rue des Frères Lefort 12
1480 - Tubize",Après la signature de l’acte,,,2676 - V2117,,1,Oui,Non,,,,,Pas équipée,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,2,,,,,Oui,Oui,,,,"Oui, conforme",,,,,,,,,,,,,,
35,,À rénover,3,,,85 m²,,,1,,,,1,1,,Non,500 m²,,,,8 m²,,,,1072 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,199.000 €,,Non,"7 rue de Namur
1400 - Nivelles",Après la signature de l’acte,,,,,,Oui,Non,Mazout,,,,Pas équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3505 - 1995,,,,,,,,,,,,,,,
36,2021,,3,2,,146 m²,30 m²,,3,,,,1,2,,Non,250 m²,,,,18 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,436.200 €,,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",,1 janvier 2023 - 00:00,,Ferme Rose - Lot 1 - BLC,,1,,Non,,,Pays,,,,,,,,,,,,180 m²,Est,,,,,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2021,,2,1,,146 m²,37 m²,,3,,,,1,2,,Non,220 m²,,,,18 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,440.000 €,,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",,1 janvier 2023 - 00:00,,Ferme Rose - Lot 3 - BLC-1-1,,1,,Non,,,Pays,,,,,,,,,,,,150 m²,Est,Nord-ouest,,,,,,,,,Oui,Non,Non,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
38,2021,,2,1,,146 m²,37 m²,,3,,,,1,2,,Non,220 m²,,,,18 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,440.000 €,,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",,1 janvier 2023 - 00:00,,Ferme Rose - Lot 2 - BLC,,1,,Non,,,Pays,,,,,,,,,,,,150 m²,Est,Sud-ouest,,,,,,,,,Oui,Non,Non,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
39,2021,,3,2,,146 m²,30 m²,,3,,,,1,2,,Non,320 m²,,,,18 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,459.600 €,,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",,1 janvier 2023 - 00:00,,Ferme Rose - Lot 4 - BLC,,1,,Non,,,Pays,,,,,,,,,,,,250 m²,Sud-est,,,,,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2021,,3,,,336 m²,30 m²,,4,,,,2,2,,Non,414 m²,,,,36 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,892.700 €,,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",,1 janvier 2023 - 00:00,,Ferme Rose - Lot 5-6 - BLC,,2,,Non,,,Pays,,,,,,,,,,,,254 m²,Sud,Sud,,,,,,,,,Oui,Non,Non,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
41,1972,,4,1,,155 m²,34 m²,,3,14 m²,11 m²,9 m²,1,2,,Non,447 m²,,,,20 m²,,,,444 kWh/m²,F,2021041410731,Non communiqué,84394 kWh/an,Oui,,340.000 €,1.737 €,Non,"rue des Forges, 287
1480 - Tubize",,15 juin 2022 - 00:00,,024VER,Oui,,Oui,Non,,,,,,,,,,,,,,,,,Sud,,,,,,,,,Non,Non,Non,,,,,,,,1,,Oui,,,,,,,,"Oui, conforme",,,,,,,,,,,,,,
42,,,4,2,,1742 m²,40 m²,14 m²,4,34 m²,15 m²,13 m²,1,1,Oui,Non,1742 m²,,,Non,,,,,Non communiqué,Non communiqué,En cours,Non communiqué,Non communiqué,Non,,549.000 €,,Non,,Après la signature de l’acte,,,,Oui,1,,,,,,,,12 m²,Non,Non,Non,Non,Non,Non,Non,Non,1500 m²,Sud,,,,,,,,,,Non,Non,Non,Non,,Toutes sortes,,,,,2,,,,,,,,,,,48 m²,En cours,,,,,,,,,,,,
43,,Bon,3,,279 m²,7,,,2,,,,3,Oui,,,225 m²,,,,,,,,C,20210803008905,Non communiqué,54876 kWh/an,Gaz,Faire offre à partir de 275.000 €,,604 €,Non,"Faubourg de Charleroi 4
1400 - Nivelles",Kelly WATERLOT,Après la signature de l’acte,,,,,,340 m²,,Non,,,,,,,,,,,,,,Est,220 kWh/m²,,,,,,,,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2002,Excellent état,4,5,,155 m²,38 m²,9 m²,3,17 m²,13 m²,10 m²,1,3,Oui,Non,804 m²,,Connecté,Oui,25 m²,,Oui,,207 kWh/m²,C,20210626004786,Non communiqué,Non communiqué,Oui,,415.000 €,1.504 €,,"Wannenveld 3
1932 - Zaventem",Après la signature de l’acte,,,,,1,,,Électrique,,,,Équipée,,Oui,,,,,,,,500 m²,Nord,Ouest,,,,,,,,,,,,,Oui,,,,,,2,,Oui,,,,,,,,,,,1,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
45,1976,À rénover,4,5,,315 m²,50 m²,18 m²,4,13 m²,13 m²,13 m²,3,2,Oui,,2522 m²,,,,,,Oui,,636 kWh/m²,G,20200925014687,158 kg CO₂/m²,Non communiqué,Oui,,945.000 €,,,"Rue de Saintes 11/3
1400 - Nivelles",Après la signature de l’acte,,,,Oui,,Oui,,Mazout,,,,Équipée,22 m²,,Oui,Oui,,,,,,,Sud-ouest,Sud-ouest,,,,,,,,,,,,,,,,,,,2,,Oui,17 m²,,Oui,Oui,,,,,,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
46,1920,Bon,,3,150 m²,1,,,16 m²,14 m²,13 m²,1,1,Oui,,829 m²,750 m²,,,,,,,,E,20130214006396,Non communiqué,64114 kWh/an,Non,365.000 €,,866 €,Non,"Rue De Mons 46
1480 - Tubize",2725 - 2306,,,,,,3,Non,Mazout,Oui,,,,4,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,2,,,,,,349 kWh/m²,,,,,,,Équipée,,,,,,,,,,,
47,,Fraîchement rénové,,2,120 m²,Équipée,,,1,,,,,Oui,,434 m²,25 m²,,,,255 kWh/m²,,,,C,Non communiqué,Non communiqué,Non communiqué,Non,290.000 €,,604 €,Non,"Rue De Mons 46
1480 - Tubize",2850 - 2333,,,,,,2,Non,Mazout,Oui,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
48,,À restaurer,4,2,,,,,4,,,,1,,,,960 m²,,,,,,,,522 kWh/m²,G,20210302014349,Non communiqué,95076 kWh/an,,,255.000 €,,Non,"Route d'Ath 321
7050 - Jurbise",Après la signature de l’acte,,,4295889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
49,1900,À rénover,3,,129 m²,Semi-équipée,,,40 m²,16 m²,14 m²,12 m²,,28 m²,,1000 m²,10 m,Oui,,800 m²,248 kWh/m²,,,,C,202110914006146,48 kg CO₂/m²,Non communiqué,Non,,,1 €,,"Chaussee de Charleroi 59 B
5030 - Gembloux",92 - 93363865,Après la signature de l’acte,1 décembre 2021 - 00:00,,,,2,,Gaz,295.000 €,10 m,"Zone d'habitat (résidentiel, urbain ou rural)",,4,10 m²,,,,,,,,,Ouest,35 m²,,,,,,,,,,,,,,,,,,,,,1,,,,,,Non,,,,Non,,,,,,,,,,,,,
50,2008,À rafraîchir,4,6,,150 m²,43 m²,16 m²,4,21 m²,15 m²,11 m²,1,2,Oui,,2000 m²,27 m,Connecté,Non,10 m²,Oui,,Non,245 kWh/m²,C,20210610004430,61 kg CO₂/m²,45833 kWh/an,Oui,Zone non inondable,Faire offre à partir de 435.000 €,,Non,"Avenue Louise 433
1050 - Bruxelles",Après la signature de l’acte,1 octobre 2021 - 00:00,,4398496,,1,,,,9 m,Pays,,Américaine semi-équipée,11 m²,,,,,,,,,20 m²,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 m²,,,,,,,,
51,,Bon,4,4,,260 m²,30 m²,,3,,,,2,2,,Non,2500 m²,,Connecté,Oui,60 m²,,,,238 kWh/m²,C,20210328005257,Non communiqué,82759 kWh/an,Oui,,549.000 €,1.755 €,Non,"chaussée de Liège 36
6900 - Marche-en-Famenne",,,,ChastreBlanmont2,Oui,,Oui,Non,Gaz,,,,Équipée,,Oui,Oui,,Non,,,,,2500 m²,,Sud-est,,,,,,,,,,,,,Oui,,,Non,Non,Non,1,,Oui,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
52,1967,À rénover,4,4,,145 m²,31 m²,13 m²,4,13 m²,14 m²,11 m²,1,1,Oui,Non,713 m²,,Connecté,Oui,35 m²,,,,413 kWh/m²,E,20210821000117,102 kg CO₂/m²,77804 kWh/an,Oui,Zone non inondable,329.000 €,2.037 €,Non,"Place Albert 1er, 20
1300 - Limal",Après la signature de l’acte,,,4529267,,,Oui,,Mazout,,,,Hyper équipée,16 m²,,Oui,,,,,,,350 m²,,,,,,,,,,,,,,,,,,,,,1,,,8 m²,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
53,1900,Bon,4,5,275 m²,1,,,1,,,,2,Oui,,2847 m²,Oui,,,Oui,,,,,D,20211002003155,Non communiqué,Non communiqué,Non,545.000 €,,1.526 €,Oui,"Grand' Route 69 A
1435 - Corbais",8819 - 345345962,Après la signature de l’acte,,,,,4,Non,Gaz,Oui,,,,6,,,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,1,,,,,Nord-est,315 kWh/m²,,,,,,,Semi-équipée,,,,,,,,,,,
54,1900,Bon,4,5,275 m²,1,,,1,,,,2,Oui,,2847 m²,Oui,,,Oui,,,,,D,20211002003155,Non communiqué,Non communiqué,Non,545.000 €,,1.526 €,Non,"Grand' Route 69 A
1435 - Corbais",8811 - 345345962,Après la signature de l’acte,,,,,4,Non,Gaz,Oui,,,,6,,,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,1,,,,,Nord-est,315 kWh/m²,,,,,,,Semi-équipée,,,,,,,,,,,
55,1890,Excellent état,,2,,130 m²,,,2,16 m²,10 m²,,,1,,Non,200 m²,,,,20 m²,,,,387 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Oui,,300.000 €,354 €,Non,"Venelle de la réserve 2
1300 - Wavre",Après la signature de l’acte,,,5489 - 5142,,1,,Non,Pellets,,,,Américaine équipée,,,,,,,,,,80 m²,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 m²,,,,,,,,,,,,,
56,1957,À rafraîchir,3,3,106 m²,35 m²,Semi-équipée,,12 m²,12 m²,8 m²,1,2,Oui,,1335 m²,14 m,Oui,,Oui,502 kWh/m²,,,,F,20210628019745,Non communiqué,Non communiqué,Non,325.000 €,,1.042 €,Non,"Grand' Route 69 A
1435 - Corbais",8616 - 345345906,Après la signature de l’acte,,,,,,Non,Gaz,Oui,,,,3,,,,,,,,,,,20 m²,,,,,,,,,,,,,,,,,,,,2,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,
57,1800,Bon,3,2,250 m²,57 m²,Semi-équipée,,18 m²,16 m²,9 m²,9 m²,1,Non,,420 m²,Oui,,,Oui,,,,,B,20161201020906,Non communiqué,Non communiqué,Non,375.000 €,,737 €,Non,"Grand' Route 69 A
1435 - Corbais",8803 - 345345956,Après la signature de l’acte,31 décembre 2021 - 00:00,,,,2,,Gaz,Oui,,,,4,1,,,,,,,,,,105 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,Nord-est,,,,,,,,,,,,,,,,,,,
58,1890,Bon,3,4,170 m²,20 m²,Oui,4,21 m²,17 m²,8 m²,8 m²,1,Oui,,260 m²,100 m²,,,,Non communiqué,,,,E,Non communiqué,Non communiqué,Non communiqué,Non,325.000 €,,464 €,Non,"Venelle de la réserve 2
1300 - Wavre",5542 - 5176,Après la signature de l’acte,,,,Américaine hyper-équipée,,Non,Mazout,Oui,,,,14 m²,1,,,,,,,,,Sud-est,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1970,Bon,4,,155 m²,26 m²,Hyper équipée,4,20 m²,14 m²,14 m²,14 m²,Non,,,952 m²,Oui,,,Oui,,,,332 kWh/m²,D,20150316001074,Non communiqué,Non communiqué,Non,400.000 €,,Non,,"Venelle de la réserve 2
1300 - Wavre",5468 - 5131,,,,,,,,Mazout,Oui,,,,22 m²,1,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,1,,,,,Sud-est,Oui,,,,,,,,,,,,,,,,,,
60,,,,3,211 m²,30 m²,11 m²,3,22 m²,14 m²,13 m²,1,2,Non,,744 m²,Oui,,,,,,,,B,20151123509046,Non communiqué,Non communiqué,Non,450.000 €,,Non,,"Venelle de la réserve 2
1300 - Wavre",4502 - 2729,,1 novembre 2021 - 00:00,,,,,,Oui,,,,,,,,,,,,,,,,89 kWh/m²,,,,,,,,,,,,,,,,,,,,1,,,,,Sud,,,,,,,,,,,,,,,,,,,
61,,À rafraîchir,,1,,101 m²,25 m²,6 m²,3,15 m²,12 m²,9 m²,,2,,Non,3185 m²,,Connecté,Oui,,,,,377 kWh/m²,E,20210601020943,Non communiqué,Non communiqué,,Zone non inondable,330.000 €,903 €,Non,"Chaussée de Tirlemont 90
5030 - Gembloux",À définir,,,,,,Oui,,Mazout,,,,Semi-équipée,,Non,,,,,,,,,Sud,Sud,,,,,,,,,Non,,,,,,,,,,1,,,,,Oui,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
62,,,3,,,,,,2,,,,1,,,Non,580 m²,,,,,,,,419 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,,270.000 €,,Non,"Grand Route 51
1435 - Mont-St-guibert",,,,769,,,,Non,Gaz,,,,Équipée,,,,,,,,,,1 m²,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1997,Bon,4,2,,160 m²,35 m²,20 m²,3,15 m²,20 m²,20 m²,1,2,,Non,945 m²,,,,,,,,255 kWh/m²,C,20210628007969,Non communiqué,Non communiqué,Oui,,390.000 €,1.787 €,Non,"Avenue Général Mellier 20
5030 - Gembloux",Après la signature de l’acte,,,spir1921,,1,,,Mazout,,Pays,,Équipée,,Non,Non,,,,,,,945 m²,Nord-ouest,,,,,,,,,,Non,,,,,,Non,,,,1,,Oui,,,,,,,,Non,20 m²,,,,Zone d'extension d'habitat,,10 m²,,,,,,,
